property_code	unit_type_code	active	bathrooms	bedrooms	classification	internal_notes	unit_type_name
	A1Usd	True	1.00	1.00			1br full upgrade
	A1sd	True	1.00	1.00			1br traditional
	B1Usd	True	1.00	2.00			2x1 full upgrade
	B1sd	True	1.00	2.00			2x1 traditional
	B2Usd	True	2.00	2.00			2x2 full upgrade
	B2sd	True	2.00	2.00			2x2 traditional
	S1Usd	True	1.00	0.00			studio full upgrade
	S1sd	True	1.00	0.00			studio traditional
	a1-1la	True	1.00	1.00		1/1	B2 Platinum 2x1 upstairs
	a1ne	True	1.00	1.00		1 bedroom/1 bath lower lev	1 Bed, Unrenovated
	a1pw8	True	1.00	1.00		1 bed/1 bath partial upgra	a1pw8
	a1s-1la	True	1.00	1.00		1/1 SUN	B2 Platinum 2x1 upstairs r
	a1sw8	True	1.00	1.00		1 bed/1 bath Sterling upgr	a1sw8
	a1une	True	1.00	1.00		1 Bedroom/1 Bath lower	1 Bed, Unrenovated
	a1uw8	True	1.00	1.00		1 bed/1 bath upgrade	a1uw8
	a1w8	True	1.00	1.00		1 bed/1 bath	a1w8
	a2-2la	True	1.00	1.00		1/1	B2 Platinum 2x1 upstairs
	a2ne	True	1.00	1.00		1 bedroom/1 bath upper lev	1 Bed, Unrenovated
	a2pw8	True	1.00	1.00		1 bed/1 bath partial upgra	a2pw8
	a2sw8	True	1.00	1.00		1 bed/1 bath Sterling upgr	a2sw8
	a2une	True	1.00	1.00		1 Bedroom/1 Bath upper	1 Bed, Unrenovated, with W
	a2uw8	True	1.00	1.00		1 bed/1 bath upgrade	a2uw8
	a2w8	True	1.00	1.00		1 bed/1 bath	a2w8
	a3-3la	True	1.00	1.00		1/1	B2 Platinum 2x1 upstairs R
	a3pw8	True	1.00	1.00		1 bed/1 bath partial upgra	a3pw8
	a3sw8	True	1.00	1.00		1 bed/1 bath Sterling upgr	a3sw8
	a3uw8	True	1.00	1.00		1 bed/1 bath upgrade	a3uw8
	a3w8	True	1.00	1.00		1 bed/1 bath	a3w8
	a4-1la	True	1.00	1.00		1/1	B3 Classic 2x2 upstairs
	a4pw8	True	1.00	1.00		1 bed/1 bath partial upgra	a4pw8
	a4s-1la	True	1.00	1.00		1/1 SUN	B3 Platinum 2x2 upstairs
