Property PK	Property Name	Operator GL PK	Operator Account Code	Operator Account Name	Primary GL PK	Primary Account Code	Primary Account Name	Month	Actual
1833	Oaks at Greenview, The	4972	1652-61	Golf Course - Site	4972	1652-61	Golf Course - Site	2017-05-01	0.00
1833	Oaks at Greenview, The	4972	1652-61	Golf Course - Site	4972	1652-61	Golf Course - Site	2017-06-01	0.00
1833	Oaks at Greenview, The	4972	1652-61	Golf Course - Site	4972	1652-61	Golf Course - Site	2017-07-01	
1833	Oaks at Greenview, The	4973	1657-11	Exterior Upgrades - Clubroom	4973	1657-11	Exterior Upgrades - Clubroom	2017-05-01	0.00
1833	Oaks at Greenview, The	4973	1657-11	Exterior Upgrades - Clubroom	4973	1657-11	Exterior Upgrades - Clubroom	2017-06-01	0.00
1833	Oaks at Greenview, The	4973	1657-11	Exterior Upgrades - Clubroom	4973	1657-11	Exterior Upgrades - Clubroom	2017-07-01	
1833	Oaks at Greenview, The	4974	1657-19	Other - Clubroom	4974	1657-19	Other - Clubroom	2017-05-01	0.00
1833	Oaks at Greenview, The	4974	1657-19	Other - Clubroom	4974	1657-19	Other - Clubroom	2017-06-01	0.00
1833	Oaks at Greenview, The	4974	1657-19	Other - Clubroom	4974	1657-19	Other - Clubroom	2017-07-01	
1833	Oaks at Greenview, The	4975	1657-21	Exterior Upgrades - Fit Ctr	4975	1657-21	Exterior Upgrades - Fit Ctr	2017-05-01	0.00
1833	Oaks at Greenview, The	4975	1657-21	Exterior Upgrades - Fit Ctr	4975	1657-21	Exterior Upgrades - Fit Ctr	2017-06-01	0.00
1833	Oaks at Greenview, The	4975	1657-21	Exterior Upgrades - Fit Ctr	4975	1657-21	Exterior Upgrades - Fit Ctr	2017-07-01	
1833	Oaks at Greenview, The	4976	1657-31	Exterior Upgrades - Bus Ctr	4976	1657-31	Exterior Upgrades - Bus Ctr	2017-05-01	0.00
1833	Oaks at Greenview, The	4976	1657-31	Exterior Upgrades - Bus Ctr	4976	1657-31	Exterior Upgrades - Bus Ctr	2017-06-01	0.00
1833	Oaks at Greenview, The	4976	1657-31	Exterior Upgrades - Bus Ctr	4976	1657-31	Exterior Upgrades - Bus Ctr	2017-07-01	
1833	Oaks at Greenview, The	10588	1618-01	Hard Surface Flooring - Int Apt	10588	1618-01	Hard Surface Flooring - Int Apt	2017-05-01	2101.36
