organization_name	datasource	primary_account	datasource_account	datasource_account_name	primary_account_name
BH Management	BH Management - BH Management			Advertising and Promotions	
BH Management	BH Management - BH Management			Capital Expense (Non-Depreciable)	
BH Management	BH Management - BH Management			Cash Flow From Financing	
BH Management	BH Management - BH Management			Cash Flow From Investing	
BH Management	BH Management - BH Management			Cash Flow From Operations	
BH Management	BH Management - BH Management			Change in Acc Other Comprehensive	
BH Management	BH Management - BH Management			Change in Current Liabilities	
BH Management	BH Management - BH Management			Change in Deferred Loan Fees	
BH Management	BH Management - BH Management			Change in Equity-Contributions	
BH Management	BH Management - BH Management			Change in Equity-Distributions	
BH Management	BH Management - BH Management			Change in Initial Start-Up Expenses	
BH Management	BH Management - BH Management			Change in Investment at Cost	
BH Management	BH Management - BH Management			Change in Land and Buildings	
BH Management	BH Management - BH Management			Change in Long Term Notes Payable	
BH Management	BH Management - BH Management			Change in Mortgage Payable	
BH Management	BH Management - BH Management			Change in NCI Unrealized Appr/Depr	
BH Management	BH Management - BH Management			Change in Nonrecurring Fixed Assets	
BH Management	BH Management - BH Management			Change in Other Comprehensive	
BH Management	BH Management - BH Management			Change in Other Current Assets	
BH Management	BH Management - BH Management			Change in Other Equity	
BH Management	BH Management - BH Management			Change in Recurring Fixed Assets	
BH Management	BH Management - BH Management			Change in Rehab Expenses	
BH Management	BH Management - BH Management			Change in Required Repair Expenses	
BH Management	BH Management - BH Management			Change in Reserves and Escrows	
BH Management	BH Management - BH Management			Change in Security Deposit Liabilities	
BH Management	BH Management - BH Management			Change in Short Term Notes Payable	
BH Management	BH Management - BH Management			Change in Stock	
BH Management	BH Management - BH Management			Change in Utility Deposits	
BH Management	BH Management - BH Management			Debt Service-Entity Loans	
BH Management	BH Management - BH Management			Debt Service-Property	
BH Management	BH Management - BH Management			Deductions	
BH Management	BH Management - BH Management			Depreciation and Amortization	
BH Management	BH Management - BH Management			Entity Expenses	
BH Management	BH Management - BH Management			General and Administrative Costs	
BH Management	BH Management - BH Management			Gross Potential Rent	
BH Management	BH Management - BH Management			Insurance and Bonds	
BH Management	BH Management - BH Management			Labor Costs	
BH Management	BH Management - BH Management			Management Fees	
BH Management	BH Management - BH Management			Nonrec Capital Exp-Admin Buildings	
BH Management	BH Management - BH Management			Nonrec Capital Exp-Ext Building Impr	
BH Management	BH Management - BH Management			Nonrec Capital Exp-Int Building Impr	
BH Management	BH Management - BH Management			Nonrec Capital Exp-Landscaping	
BH Management	BH Management - BH Management			Nonrec Capital Exp-Mech/Elect/Plumb	
BH Management	BH Management - BH Management			Nonrec Capital Exp-Other	
BH Management	BH Management - BH Management			Nonrec Capital Exp-Site Improvements	
BH Management	BH Management - BH Management			Nonrecurring Capital Expense	
BH Management	BH Management - BH Management			Other	
BH Management	BH Management - BH Management			Other Income	
BH Management	BH Management - BH Management			Other Property Expenses	
BH Management	BH Management - BH Management			Property Taxes	
BH Management	BH Management - BH Management			Recurring Capital Exp-Interiors	
BH Management	BH Management - BH Management			Recurring Capital Exp-Other	
BH Management	BH Management - BH Management			Recurring Capital Expense	
BH Management	BH Management - BH Management			Repairs and Maintenance	
BH Management	BH Management - BH Management			ReqRep/Rehab Deletions (Tax Adj)	
BH Management	BH Management - BH Management			Start-Up Expense	
BH Management	BH Management - BH Management			Tax Adjustments-ReqRep/Rehab Deletions	
BH Management	BH Management - BH Management			Total Cash Flow	
BH Management	BH Management - BH Management			Total Cash Flow From Financing	
BH Management	BH Management - BH Management			Total Cash Flow From Investing	
BH Management	BH Management - BH Management			Total Cash Flow From Operations	
BH Management	BH Management - BH Management			Total Nonrecurring Capital Expense	
BH Management	BH Management - BH Management			Total Recurring Capital Expenses	
BH Management	BH Management - BH Management			Utility Costs	
BH Management	BH Management - BH Management		1000-00	Operating Cash Account	
BH Management	BH Management - BH Management		1000-01	Operating Cash-2nd Account	
BH Management	BH Management - BH Management		1000-02	Operating Cash-3rd Account	
BH Management	BH Management - BH Management		1000-97	Cash Clearing Account	
BH Management	BH Management - BH Management		1001-00	Depository Cash Account	
BH Management	BH Management - BH Management		1001-01	Depository Cash-2nd Account	
BH Management	BH Management - BH Management		1001-02	Depository Collections Account	
BH Management	BH Management - BH Management		1002-00	Entity Distribution-Checking Account	
BH Management	BH Management - BH Management		1002-01	Partnership Checking Account	
BH Management	BH Management - BH Management		1002-02	Construction Checking Account	
BH Management	BH Management - BH Management		1003-00	Entity Distribution Savings Account	
BH Management	BH Management - BH Management		1003-01	Entity Certificates of Deposit	
BH Management	BH Management - BH Management		1004-00	Partnership Funding for Property Improvement	
BH Management	BH Management - BH Management		1005-00	Owner Cash Account	
BH Management	BH Management - BH Management		1005-01	Owner Money Market Account	
BH Management	BH Management - BH Management		1006-00	Petty Cash	
BH Management	BH Management - BH Management		1006-01	Check Requests	
BH Management	BH Management - BH Management		1006-09	Miscellaneous Cash	
BH Management	BH Management - BH Management		1008-00	Initial Rehab-Entity	
BH Management	BH Management - BH Management		1008-01	Initial Rehab-Partnership	
BH Management	BH Management - BH Management		1009-00	Initial Start-Up Account-Entity	
BH Management	BH Management - BH Management		1009-01	Initial Start-Up Account-Partnership	
BH Management	BH Management - BH Management		1010-00	Tenant Security Deposits Account	
BH Management	BH Management - BH Management		1010-01	Tenant Security Deposits-2nd Account	
BH Management	BH Management - BH Management		1031-00	Insurance Escrows Held by Property	
BH Management	BH Management - BH Management		1040-00	RE Tax Escrows Held by Property	
BH Management	BH Management - BH Management		1041-00	Insurance Escrows Held by Property	
BH Management	BH Management - BH Management		1045-00	Rehab Escrows Held by Property	
