Ansley Place - 1536:0110	Bedrooms	N\A
Ansley Place - 1536:0110	Unit Type	B1ap
Ansley Place - 1536:0110	Occupancy Status	Admin/Down
Axis at Westmont - 1645:06.101	Bedrooms	N\A
Axis at Westmont - 1645:06.101	Unit Type	b3uix
Axis at Westmont - 1645:06.101	Occupancy Status	Admin/Down
Axis at Westmont - 1645:13.101	Bedrooms	N\A
Axis at Westmont - 1645:13.101	Unit Type	b3ix
Axis at Westmont - 1645:13.101	Occupancy Status	Admin/Down
Axis at Westmont - 1645:13.102	Bedrooms	N\A
Axis at Westmont - 1645:13.102	Unit Type	a2uix
Axis at Westmont - 1645:13.102	Occupancy Status	Admin/Down
Axis at Westmont - 1645:13.103	Bedrooms	N\A
Axis at Westmont - 1645:13.103	Unit Type	a2uix
Axis at Westmont - 1645:13.103	Occupancy Status	Admin/Down
Axis at Westmont - 1645:13.104	Bedrooms	N\A
Axis at Westmont - 1645:13.104	Unit Type	b1ix
Axis at Westmont - 1645:13.104	Occupancy Status	Admin/Down
Axis at Westmont - 1645:13.105	Bedrooms	N\A
Axis at Westmont - 1645:13.105	Unit Type	b3ix
Axis at Westmont - 1645:13.105	Occupancy Status	Admin/Down
Axis at Westmont - 1645:13.106	Bedrooms	N\A
Axis at Westmont - 1645:13.106	Unit Type	a1ix
Axis at Westmont - 1645:13.106	Occupancy Status	Admin/Down
Axis at Westmont - 1645:13.107	Bedrooms	N\A
Axis at Westmont - 1645:13.107	Unit Type	a1uix
Axis at Westmont - 1645:13.107	Occupancy Status	Admin/Down
Axis at Westmont - 1645:13.108	Bedrooms	N\A
Axis at Westmont - 1645:13.108	Unit Type	a2ix
Axis at Westmont - 1645:13.108	Occupancy Status	Admin/Down
Axis at Westmont - 1645:13.109	Bedrooms	N\A
Axis at Westmont - 1645:13.109	Unit Type	a2ix
Axis at Westmont - 1645:13.109	Occupancy Status	Admin/Down
Axis at Westmont - 1645:13.110	Bedrooms	N\A
Axis at Westmont - 1645:13.110	Unit Type	b2ix
Axis at Westmont - 1645:13.110	Occupancy Status	Admin/Down
Axis at Westmont - 1645:13.201	Bedrooms	N\A
Axis at Westmont - 1645:13.201	Unit Type	b3uix
Axis at Westmont - 1645:13.201	Occupancy Status	Admin/Down
Axis at Westmont - 1645:13.202	Bedrooms	N\A
Axis at Westmont - 1645:13.202	Unit Type	a2uix
Axis at Westmont - 1645:13.202	Occupancy Status	Admin/Down
Axis at Westmont - 1645:13.203	Bedrooms	N\A
Axis at Westmont - 1645:13.203	Unit Type	A2Pix
Axis at Westmont - 1645:13.203	Occupancy Status	Admin/Down
Axis at Westmont - 1645:13.204	Bedrooms	N\A
Axis at Westmont - 1645:13.204	Unit Type	b1uix
Axis at Westmont - 1645:13.204	Occupancy Status	Admin/Down
Axis at Westmont - 1645:13.205	Bedrooms	N\A
Axis at Westmont - 1645:13.205	Unit Type	b3uix
Axis at Westmont - 1645:13.205	Occupancy Status	Admin/Down
Axis at Westmont - 1645:13.206	Bedrooms	N\A
Axis at Westmont - 1645:13.206	Unit Type	b2pix
Axis at Westmont - 1645:13.206	Occupancy Status	Admin/Down
Axis at Westmont - 1645:13.207	Bedrooms	N\A
Axis at Westmont - 1645:13.207	Unit Type	b1ix
Axis at Westmont - 1645:13.207	Occupancy Status	Admin/Down
Axis at Westmont - 1645:13.208	Bedrooms	N\A
Axis at Westmont - 1645:13.208	Unit Type	A2Pix
Axis at Westmont - 1645:13.208	Occupancy Status	Admin/Down
