Ansley Place - 1536	Total Units	246.0
Ansley Place - 1536	Admin / Down Units	1.0
Ansley Place - 1536	Avg SF	959.0
Ansley Place - 1536	Total In-Place Rent	208431.0
Ansley Place - 1536	Avg In-Place Rent	918.0
Ansley Place - 1536	Avg Market Rent	1162.0
Ansley Place - 1536	Avg LTL $	248.0
Ansley Place - 1536	Avg LTL %	21.2
Ansley Place - 1536	Avg Rent PSF	0.98
Ansley Place - 1536	Avg Market Rent PSF	1.24
Ansley Place - 1536	Avg Lease Term (Months)	12.3
Ansley Place - 1536	Avg Tenancy (Years)	1.4
Arbors at Tallwood - 1532	Total Units	120.0
Arbors at Tallwood - 1532	Admin / Down Units	
Arbors at Tallwood - 1532	Avg SF	987.0
Arbors at Tallwood - 1532	Total In-Place Rent	134447.0
Arbors at Tallwood - 1532	Avg In-Place Rent	1200.0
Arbors at Tallwood - 1532	Avg Market Rent	1197.0
Arbors at Tallwood - 1532	Avg LTL $	-6.0
Arbors at Tallwood - 1532	Avg LTL %	-0.8
Arbors at Tallwood - 1532	Avg Rent PSF	1.23
Arbors at Tallwood - 1532	Avg Market Rent PSF	1.23
Arbors at Tallwood - 1532	Avg Lease Term (Months)	12.0
Arbors at Tallwood - 1532	Avg Tenancy (Years)	2.3
Axis at Westmont - 1645	Total Units	400.0
Axis at Westmont - 1645	Admin / Down Units	21.0
Axis at Westmont - 1645	Avg SF	971.0
Axis at Westmont - 1645	Total In-Place Rent	379824.0
Axis at Westmont - 1645	Avg In-Place Rent	1064.0
Axis at Westmont - 1645	Avg Market Rent	1078.0
Axis at Westmont - 1645	Avg LTL $	11.0
Axis at Westmont - 1645	Avg LTL %	1.1
Axis at Westmont - 1645	Avg Rent PSF	1.1
Axis at Westmont - 1645	Avg Market Rent PSF	1.12
Axis at Westmont - 1645	Avg Lease Term (Months)	11.7
Axis at Westmont - 1645	Avg Tenancy (Years)	2.4
Bella Vida at Coyote Ridge - 1467	Total Units	528.0
Bella Vida at Coyote Ridge - 1467	Admin / Down Units	1.0
Bella Vida at Coyote Ridge - 1467	Avg SF	1323.0
Bella Vida at Coyote Ridge - 1467	Total In-Place Rent	691440.0
Bella Vida at Coyote Ridge - 1467	Avg In-Place Rent	1364.0
Bella Vida at Coyote Ridge - 1467	Avg Market Rent	1563.0
Bella Vida at Coyote Ridge - 1467	Avg LTL $	202.0
Bella Vida at Coyote Ridge - 1467	Avg LTL %	12.3
Bella Vida at Coyote Ridge - 1467	Avg Rent PSF	1.05
Bella Vida at Coyote Ridge - 1467	Avg Market Rent PSF	1.2
