Ansley Place - 1536:246	07/2018:Lease Expirations	27.0
Ansley Place - 1536:246	07/2018:% of Total Units	11.0
Ansley Place - 1536:246	08/2018:Lease Expirations	16.0
Ansley Place - 1536:246	08/2018:% of Total Units	6.5
Ansley Place - 1536:246	09/2018:Lease Expirations	10.0
Ansley Place - 1536:246	09/2018:% of Total Units	4.1
Ansley Place - 1536:246	10/2018:Lease Expirations	1.0
Ansley Place - 1536:246	10/2018:% of Total Units	0.4
Ansley Place - 1536:246	11/2018:Lease Expirations	
Ansley Place - 1536:246	11/2018:% of Total Units	
Ansley Place - 1536:246	12/2018:Lease Expirations	
Ansley Place - 1536:246	12/2018:% of Total Units	
Ansley Place - 1536:246	03/2019:Lease Expirations	
Ansley Place - 1536:246	03/2019:% of Total Units	
Ansley Place - 1536:246	09/2019:Lease Expirations	
Ansley Place - 1536:246	09/2019:% of Total Units	
Arbors at Tallwood - 1532:120	07/2018:Lease Expirations	11.0
Arbors at Tallwood - 1532:120	07/2018:% of Total Units	9.2
Arbors at Tallwood - 1532:120	08/2018:Lease Expirations	13.0
Arbors at Tallwood - 1532:120	08/2018:% of Total Units	10.8
Arbors at Tallwood - 1532:120	09/2018:Lease Expirations	3.0
Arbors at Tallwood - 1532:120	09/2018:% of Total Units	2.5
Arbors at Tallwood - 1532:120	10/2018:Lease Expirations	
Arbors at Tallwood - 1532:120	10/2018:% of Total Units	
Arbors at Tallwood - 1532:120	11/2018:Lease Expirations	
Arbors at Tallwood - 1532:120	11/2018:% of Total Units	
Arbors at Tallwood - 1532:120	12/2018:Lease Expirations	
Arbors at Tallwood - 1532:120	12/2018:% of Total Units	
Arbors at Tallwood - 1532:120	03/2019:Lease Expirations	
Arbors at Tallwood - 1532:120	03/2019:% of Total Units	
Arbors at Tallwood - 1532:120	09/2019:Lease Expirations	
Arbors at Tallwood - 1532:120	09/2019:% of Total Units	
Bella Vida at Coyote Ridge - 1467:528	07/2018:Lease Expirations	30.0
Bella Vida at Coyote Ridge - 1467:528	07/2018:% of Total Units	5.7
Bella Vida at Coyote Ridge - 1467:528	08/2018:Lease Expirations	20.0
Bella Vida at Coyote Ridge - 1467:528	08/2018:% of Total Units	3.8
Bella Vida at Coyote Ridge - 1467:528	09/2018:Lease Expirations	
Bella Vida at Coyote Ridge - 1467:528	09/2018:% of Total Units	
Bella Vida at Coyote Ridge - 1467:528	10/2018:Lease Expirations	
Bella Vida at Coyote Ridge - 1467:528	10/2018:% of Total Units	
Bella Vida at Coyote Ridge - 1467:528	11/2018:Lease Expirations	
Bella Vida at Coyote Ridge - 1467:528	11/2018:% of Total Units	
Bella Vida at Coyote Ridge - 1467:528	12/2018:Lease Expirations	
Bella Vida at Coyote Ridge - 1467:528	12/2018:% of Total Units	
Bella Vida at Coyote Ridge - 1467:528	03/2019:Lease Expirations	
Bella Vida at Coyote Ridge - 1467:528	03/2019:% of Total Units	
Bella Vida at Coyote Ridge - 1467:528	09/2019:Lease Expirations	
Bella Vida at Coyote Ridge - 1467:528	09/2019:% of Total Units	
Bridgeview - 1711:348	07/2018:Lease Expirations	32.0
Bridgeview - 1711:348	07/2018:% of Total Units	9.2
Bridgeview - 1711:348	08/2018:Lease Expirations	34.0
Bridgeview - 1711:348	08/2018:% of Total Units	9.8
