Bristol Place - 1546	Conversion %	16.6%
Bristol Place - 1546	Cost Per Application	$0
Chatham Village - 1553	Conversion %	18.7%
Chatham Village - 1553	Cost Per Application	$0
City Parc at Keller - 1556	Conversion %	11.8%
City Parc at Keller - 1556	Cost Per Application	$0
Hawthorne Ridge - 1552	Conversion %	12.2%
Hawthorne Ridge - 1552	Cost Per Application	$0
Landings at Brooks City Base - 1541	Conversion %	13.2%
Landings at Brooks City Base - 1541	Cost Per Application	$0
Maple Springs - 1694	Conversion %	11.9%
Maple Springs - 1694	Cost Per Application	$0
Oaks at Greenview, The - 1535	Conversion %	12.1%
Oaks at Greenview, The - 1535	Cost Per Application	$0
Park at Johns Creek - 1554	Conversion %	8.0%
Park at Johns Creek - 1554	Cost Per Application	$0
Park at Towne Lake - 1555	Conversion %	13.0%
Park at Towne Lake - 1555	Cost Per Application	$0
Pavilions at Deer Chase - 1542	Conversion %	11.9%
Pavilions at Deer Chase - 1542	Cost Per Application	$0
Summit at Sabal Park, The - 1563	Conversion %	5.4%
Summit at Sabal Park, The - 1563	Cost Per Application	$0
Sundance - 1684	Conversion %	17.2%
Sundance - 1684	Cost Per Application	$0
The Carlyle - 1740	Conversion %	18.3%
The Carlyle - 1740	Cost Per Application	$0
The Flats WDM - 1660	Conversion %	9.7%
The Flats WDM - 1660	Cost Per Application	$0
Tuscany Palms - 1754	Conversion %	100.0%
Tuscany Palms - 1754	Cost Per Application	$0
Willow Grove - 1550	Conversion %	8.8%
Willow Grove - 1550	Cost Per Application	$0
Woodbridge - 1551	Conversion %	2.6%
Woodbridge - 1551	Cost Per Application	$0
