Bristol Place - 1546	Oct 2016:First Contacts	5.0
Bristol Place - 1546	Oct 2016:Shows	1.0
Bristol Place - 1546	Oct 2016:Apps Submitted	1.0
Bristol Place - 1546	Oct 2016:Apps Approved	1.0
Bristol Place - 1546	Oct 2016:Move-Ins	1.0
Bristol Place - 1546	Apr 2017:First Contacts	77.0
Bristol Place - 1546	Apr 2017:Shows	38.0
Bristol Place - 1546	Apr 2017:Apps Submitted	12.0
Bristol Place - 1546	Apr 2017:Apps Approved	10.0
Bristol Place - 1546	Apr 2017:Move-Ins	8.0
Bristol Place - 1546	May 2017:First Contacts	81.0
Bristol Place - 1546	May 2017:Shows	41.0
Bristol Place - 1546	May 2017:Apps Submitted	17.0
Bristol Place - 1546	May 2017:Apps Approved	15.0
Bristol Place - 1546	May 2017:Move-Ins	13.0
Bristol Place - 1546	Jun 2017:First Contacts	84.0
Bristol Place - 1546	Jun 2017:Shows	39.0
Bristol Place - 1546	Jun 2017:Apps Submitted	11.0
Bristol Place - 1546	Jun 2017:Apps Approved	10.0
Bristol Place - 1546	Jun 2017:Move-Ins	10.0
Bristol Place - 1546	First Contacts:First Contacts	247.0
Bristol Place - 1546	Shows:Shows	119.0
Bristol Place - 1546	Apps Submitted:Apps Submitted	41.0
Bristol Place - 1546	Apps Approved:Apps Approved	36.0
Bristol Place - 1546	Move-Ins:Move-Ins	32.0
Chatham Village - 1553	Oct 2016:First Contacts	2.0
Chatham Village - 1553	Oct 2016:Shows	1.0
Chatham Village - 1553	Oct 2016:Apps Submitted	1.0
Chatham Village - 1553	Oct 2016:Apps Approved	1.0
Chatham Village - 1553	Oct 2016:Move-Ins	1.0
Chatham Village - 1553	Apr 2017:First Contacts	100.0
Chatham Village - 1553	Apr 2017:Shows	34.0
Chatham Village - 1553	Apr 2017:Apps Submitted	20.0
Chatham Village - 1553	Apr 2017:Apps Approved	16.0
Chatham Village - 1553	Apr 2017:Move-Ins	10.0
Chatham Village - 1553	May 2017:First Contacts	83.0
Chatham Village - 1553	May 2017:Shows	24.0
Chatham Village - 1553	May 2017:Apps Submitted	13.0
Chatham Village - 1553	May 2017:Apps Approved	11.0
Chatham Village - 1553	May 2017:Move-Ins	9.0
Chatham Village - 1553	Jun 2017:First Contacts	50.0
Chatham Village - 1553	Jun 2017:Shows	10.0
Chatham Village - 1553	Jun 2017:Apps Submitted	10.0
Chatham Village - 1553	Jun 2017:Apps Approved	10.0
Chatham Village - 1553	Jun 2017:Move-Ins	9.0
Chatham Village - 1553	First Contacts:First Contacts	235.0
Chatham Village - 1553	Shows:Shows	69.0
Chatham Village - 1553	Apps Submitted:Apps Submitted	44.0
Chatham Village - 1553	Apps Approved:Apps Approved	38.0
Chatham Village - 1553	Move-Ins:Move-Ins	29.0
City Parc at Keller - 1556	Oct 2016:First Contacts	3.0
City Parc at Keller - 1556	Oct 2016:Shows	2.0
City Parc at Keller - 1556	Oct 2016:Apps Submitted	
City Parc at Keller - 1556	Oct 2016:Apps Approved	
City Parc at Keller - 1556	Oct 2016:Move-Ins	
City Parc at Keller - 1556	Apr 2017:First Contacts	112.0
City Parc at Keller - 1556	Apr 2017:Shows	39.0
City Parc at Keller - 1556	Apr 2017:Apps Submitted	16.0
City Parc at Keller - 1556	Apr 2017:Apps Approved	13.0
City Parc at Keller - 1556	Apr 2017:Move-Ins	13.0
City Parc at Keller - 1556	May 2017:First Contacts	170.0
City Parc at Keller - 1556	May 2017:Shows	46.0
City Parc at Keller - 1556	May 2017:Apps Submitted	14.0
City Parc at Keller - 1556	May 2017:Apps Approved	13.0
City Parc at Keller - 1556	May 2017:Move-Ins	12.0
City Parc at Keller - 1556	Jun 2017:First Contacts	191.0
City Parc at Keller - 1556	Jun 2017:Shows	58.0
City Parc at Keller - 1556	Jun 2017:Apps Submitted	26.0
City Parc at Keller - 1556	Jun 2017:Apps Approved	19.0
City Parc at Keller - 1556	Jun 2017:Move-Ins	19.0
City Parc at Keller - 1556	First Contacts:First Contacts	476.0
City Parc at Keller - 1556	Shows:Shows	145.0
City Parc at Keller - 1556	Apps Submitted:Apps Submitted	56.0
City Parc at Keller - 1556	Apps Approved:Apps Approved	45.0
City Parc at Keller - 1556	Move-Ins:Move-Ins	44.0
Hawthorne Ridge - 1552	Oct 2016:First Contacts	5.0
Hawthorne Ridge - 1552	Oct 2016:Shows	4.0
Hawthorne Ridge - 1552	Oct 2016:Apps Submitted	
Hawthorne Ridge - 1552	Oct 2016:Apps Approved	
Hawthorne Ridge - 1552	Oct 2016:Move-Ins	
Hawthorne Ridge - 1552	Apr 2017:First Contacts	147.0
Hawthorne Ridge - 1552	Apr 2017:Shows	49.0
Hawthorne Ridge - 1552	Apr 2017:Apps Submitted	9.0
Hawthorne Ridge - 1552	Apr 2017:Apps Approved	9.0
Hawthorne Ridge - 1552	Apr 2017:Move-Ins	7.0
Hawthorne Ridge - 1552	May 2017:First Contacts	133.0
Hawthorne Ridge - 1552	May 2017:Shows	42.0
Hawthorne Ridge - 1552	May 2017:Apps Submitted	15.0
Hawthorne Ridge - 1552	May 2017:Apps Approved	13.0
Hawthorne Ridge - 1552	May 2017:Move-Ins	13.0
Hawthorne Ridge - 1552	Jun 2017:First Contacts	166.0
Hawthorne Ridge - 1552	Jun 2017:Shows	58.0
Hawthorne Ridge - 1552	Jun 2017:Apps Submitted	31.0
Hawthorne Ridge - 1552	Jun 2017:Apps Approved	26.0
Hawthorne Ridge - 1552	Jun 2017:Move-Ins	20.0
Hawthorne Ridge - 1552	First Contacts:First Contacts	451.0
Hawthorne Ridge - 1552	Shows:Shows	153.0
Hawthorne Ridge - 1552	Apps Submitted:Apps Submitted	55.0
Hawthorne Ridge - 1552	Apps Approved:Apps Approved	48.0
Hawthorne Ridge - 1552	Move-Ins:Move-Ins	40.0
