Ansley Place - 1536:0112	Unit Type	A3ap
Ansley Place - 1536:0112	Bed-Bath	N\A
Ansley Place - 1536:0112	Unit SF	751.0
Ansley Place - 1536:0112	Occupancy Status	Vacant
Ansley Place - 1536:0112	Future Rented?	Rented
Ansley Place - 1536:0112	Made Ready?	Not Ready
Ansley Place - 1536:0112	Vacancy Cost	68.0
Ansley Place - 1536:0112	Days Vacant	2.0
Ansley Place - 1536:0112	Market Rent	1035.0
Ansley Place - 1536:0131	Unit Type	B1ap
Ansley Place - 1536:0131	Bed-Bath	N\A
Ansley Place - 1536:0131	Unit SF	1071.0
Ansley Place - 1536:0131	Occupancy Status	Vacant
Ansley Place - 1536:0131	Future Rented?	Rented
Ansley Place - 1536:0131	Made Ready?	Not Ready
Ansley Place - 1536:0131	Vacancy Cost	77.0
Ansley Place - 1536:0131	Days Vacant	2.0
Ansley Place - 1536:0131	Market Rent	1170.0
Ansley Place - 1536:0230	Unit Type	C2ap
Ansley Place - 1536:0230	Bed-Bath	N\A
Ansley Place - 1536:0230	Unit SF	1375.0
Ansley Place - 1536:0230	Occupancy Status	Vacant
Ansley Place - 1536:0230	Future Rented?	Unrented
Ansley Place - 1536:0230	Made Ready?	Not Ready
Ansley Place - 1536:0230	Vacancy Cost	97.0
Ansley Place - 1536:0230	Days Vacant	2.0
Ansley Place - 1536:0230	Market Rent	1480.0
Ansley Place - 1536:0420	Unit Type	B1ap
Ansley Place - 1536:0420	Bed-Bath	N\A
Ansley Place - 1536:0420	Unit SF	1071.0
Ansley Place - 1536:0420	Occupancy Status	Vacant
Ansley Place - 1536:0420	Future Rented?	Unrented
Ansley Place - 1536:0420	Made Ready?	Not Ready
Ansley Place - 1536:0420	Vacancy Cost	242.0
Ansley Place - 1536:0420	Days Vacant	6.0
Ansley Place - 1536:0420	Market Rent	1230.0
Ansley Place - 1536:0426	Unit Type	B1ap
Ansley Place - 1536:0426	Bed-Bath	N\A
Ansley Place - 1536:0426	Unit SF	1071.0
Ansley Place - 1536:0426	Occupancy Status	Vacant
Ansley Place - 1536:0426	Future Rented?	Rented
Ansley Place - 1536:0426	Made Ready?	Not Ready
Ansley Place - 1536:0426	Vacancy Cost	285.0
Ansley Place - 1536:0426	Days Vacant	7.0
Ansley Place - 1536:0426	Market Rent	1240.0
Ansley Place - 1536:0427	Unit Type	B1ap
Ansley Place - 1536:0427	Bed-Bath	N\A
Ansley Place - 1536:0427	Unit SF	1071.0
Ansley Place - 1536:0427	Occupancy Status	Vacant
Ansley Place - 1536:0427	Future Rented?	Rented
Ansley Place - 1536:0427	Made Ready?	Not Ready
Ansley Place - 1536:0427	Vacancy Cost	363.0
Ansley Place - 1536:0427	Days Vacant	9.0
Ansley Place - 1536:0427	Market Rent	1230.0
Ansley Place - 1536:0629	Unit Type	A1ap
Ansley Place - 1536:0629	Bed-Bath	N\A
Ansley Place - 1536:0629	Unit SF	643.0
Ansley Place - 1536:0629	Occupancy Status	Vacant
Ansley Place - 1536:0629	Future Rented?	Unrented
Ansley Place - 1536:0629	Made Ready?	Not Ready
Ansley Place - 1536:0629	Vacancy Cost	187.0
Ansley Place - 1536:0629	Days Vacant	6.0
Ansley Place - 1536:0629	Market Rent	953.0
Ansley Place - 1536:0721	Unit Type	B1ap
Ansley Place - 1536:0721	Bed-Bath	N\A
Ansley Place - 1536:0721	Unit SF	1071.0
Ansley Place - 1536:0721	Occupancy Status	Vacant
Ansley Place - 1536:0721	Future Rented?	Unrented
Ansley Place - 1536:0721	Made Ready?	Not Ready
Ansley Place - 1536:0721	Vacancy Cost	81.0
Ansley Place - 1536:0721	Days Vacant	2.0
Ansley Place - 1536:0721	Market Rent	1230.0
Ansley Place - 1536:0732	Unit Type	A1ap
Ansley Place - 1536:0732	Bed-Bath	N\A
Ansley Place - 1536:0732	Unit SF	643.0
Ansley Place - 1536:0732	Occupancy Status	Vacant
Ansley Place - 1536:0732	Future Rented?	Unrented
Ansley Place - 1536:0732	Made Ready?	Not Ready
Ansley Place - 1536:0732	Vacancy Cost	182.0
Ansley Place - 1536:0732	Days Vacant	6.0
Ansley Place - 1536:0732	Market Rent	923.0
Ansley Place - 1536:0824	Unit Type	A3ap
Ansley Place - 1536:0824	Bed-Bath	N\A
Ansley Place - 1536:0824	Unit SF	751.0
Ansley Place - 1536:0824	Occupancy Status	Vacant
Ansley Place - 1536:0824	Future Rented?	Unrented
Ansley Place - 1536:0824	Made Ready?	Ready
Ansley Place - 1536:0824	Vacancy Cost	1198.0
Ansley Place - 1536:0824	Days Vacant	34.0
Ansley Place - 1536:0824	Market Rent	1075.0
Ansley Place - 1536:0834	Unit Type	A3ap
Ansley Place - 1536:0834	Bed-Bath	N\A
Ansley Place - 1536:0834	Unit SF	751.0
Ansley Place - 1536:0834	Occupancy Status	Vacant
Ansley Place - 1536:0834	Future Rented?	Unrented
Ansley Place - 1536:0834	Made Ready?	Ready
Ansley Place - 1536:0834	Vacancy Cost	617.0
Ansley Place - 1536:0834	Days Vacant	18.0
Ansley Place - 1536:0834	Market Rent	1045.0
Ansley Place - 1536:1021	Unit Type	B1ap
Ansley Place - 1536:1021	Bed-Bath	N\A
Ansley Place - 1536:1021	Unit SF	1071.0
Ansley Place - 1536:1021	Occupancy Status	Vacant
Ansley Place - 1536:1021	Future Rented?	Rented
Ansley Place - 1536:1021	Made Ready?	Not Ready
Ansley Place - 1536:1021	Vacancy Cost	81.0
Ansley Place - 1536:1021	Days Vacant	2.0
Ansley Place - 1536:1021	Market Rent	1240.0
Ansley Place - 1536:1033	Unit Type	A2ap
Ansley Place - 1536:1033	Bed-Bath	N\A
Ansley Place - 1536:1033	Unit SF	743.0
Ansley Place - 1536:1033	Occupancy Status	Vacant
Ansley Place - 1536:1033	Future Rented?	Unrented
Ansley Place - 1536:1033	Made Ready?	Ready
Ansley Place - 1536:1033	Vacancy Cost	1424.0
Ansley Place - 1536:1033	Days Vacant	45.0
Ansley Place - 1536:1033	Market Rent	965.0
Ansley Place - 1536:1035	Unit Type	A1ap
Ansley Place - 1536:1035	Bed-Bath	N\A
Ansley Place - 1536:1035	Unit SF	643.0
Ansley Place - 1536:1035	Occupancy Status	Vacant
Ansley Place - 1536:1035	Future Rented?	Rented
Ansley Place - 1536:1035	Made Ready?	Ready
Ansley Place - 1536:1035	Vacancy Cost	644.0
Ansley Place - 1536:1035	Days Vacant	22.0
Ansley Place - 1536:1035	Market Rent	893.0
Ansley Place - 1536:1231	Unit Type	A5ap
Ansley Place - 1536:1231	Bed-Bath	N\A
Ansley Place - 1536:1231	Unit SF	752.0
Ansley Place - 1536:1231	Occupancy Status	Vacant
Ansley Place - 1536:1231	Future Rented?	Unrented
Ansley Place - 1536:1231	Made Ready?	Not Ready
Ansley Place - 1536:1231	Vacancy Cost	100.0
Ansley Place - 1536:1231	Days Vacant	3.0
Ansley Place - 1536:1231	Market Rent	1020.0
Ansley Place - 1536:1311	Unit Type	B1ap
Ansley Place - 1536:1311	Bed-Bath	N\A
Ansley Place - 1536:1311	Unit SF	1071.0
Ansley Place - 1536:1311	Occupancy Status	Vacant
Ansley Place - 1536:1311	Future Rented?	Rented
Ansley Place - 1536:1311	Made Ready?	Not Ready
Ansley Place - 1536:1311	Vacancy Cost	359.0
Ansley Place - 1536:1311	Days Vacant	9.0
Ansley Place - 1536:1311	Market Rent	1215.0
Ansley Place - 1536:1314	Unit Type	A3ap
Ansley Place - 1536:1314	Bed-Bath	N\A
Ansley Place - 1536:1314	Unit SF	751.0
Ansley Place - 1536:1314	Occupancy Status	Vacant
Ansley Place - 1536:1314	Future Rented?	Unrented
Ansley Place - 1536:1314	Made Ready?	Ready
Ansley Place - 1536:1314	Vacancy Cost	240.0
