Ansley Place - 1536	Avg Loss to Lease	$248
Ansley Place - 1536	Avg Actual Rent	$918
Arbors at Tallwood - 1532	Avg Loss to Lease	$-6
Arbors at Tallwood - 1532	Avg Actual Rent	$1,200
Axis at Westmont - 1645	Avg Loss to Lease	$11
Axis at Westmont - 1645	Avg Actual Rent	$1,064
Bella Vida at Coyote Ridge - 1467	Avg Loss to Lease	$202
Bella Vida at Coyote Ridge - 1467	Avg Actual Rent	$1,364
Bridgeview - 1711	Avg Loss to Lease	$49
Bridgeview - 1711	Avg Actual Rent	$970
Bristol Place - 1546	Avg Loss to Lease	$4
Bristol Place - 1546	Avg Actual Rent	$1,162
Brookhollow - 1529	Avg Loss to Lease	$21
Brookhollow - 1529	Avg Actual Rent	$785
Carmel Landing - 1458	Avg Loss to Lease	$25
Carmel Landing - 1458	Avg Actual Rent	$888
Cedar Trails - 1462	Avg Loss to Lease	$79
Cedar Trails - 1462	Avg Actual Rent	$761
Chatham Village - 1553	Avg Loss to Lease	$-28
Chatham Village - 1553	Avg Actual Rent	$937
Chelsea Creek - 1463	Avg Loss to Lease	$32
Chelsea Creek - 1463	Avg Actual Rent	$687
City Parc at Keller - 1556	Avg Loss to Lease	$40
City Parc at Keller - 1556	Avg Actual Rent	$1,136
Concord at Allendale - 1466	Avg Loss to Lease	$60
Concord at Allendale - 1466	Avg Actual Rent	$928
Granite Park - 1670	Avg Loss to Lease	$-5
Granite Park - 1670	Avg Actual Rent	$843
Hawthorne Ridge - 1552	Avg Loss to Lease	$180
Hawthorne Ridge - 1552	Avg Actual Rent	$945
Hollister Place - 1707	Avg Loss to Lease	$16
Hollister Place - 1707	Avg Actual Rent	$947
Ladera Palms - 1450	Avg Loss to Lease	$100
Ladera Palms - 1450	Avg Actual Rent	$692
Lakes at Fountain Square - 1646	Avg Loss to Lease	$79
Lakes at Fountain Square - 1646	Avg Actual Rent	$991
Landings at Brooks City Base - 1541	Avg Loss to Lease	$215
Landings at Brooks City Base - 1541	Avg Actual Rent	$895
Maple Springs - 1694	Avg Loss to Lease	$37
Maple Springs - 1694	Avg Actual Rent	$870
Oaks at Greenview, The - 1535	Avg Loss to Lease	$-9
Oaks at Greenview, The - 1535	Avg Actual Rent	$860
Parc500 - 1676	Avg Loss to Lease	$7
Parc500 - 1676	Avg Actual Rent	$1,158
Park at Johns Creek - 1554	Avg Loss to Lease	$133
Park at Johns Creek - 1554	Avg Actual Rent	$1,435
Park at Peachtree Corners - 1469	Avg Loss to Lease	$56
Park at Peachtree Corners - 1469	Avg Actual Rent	$921
Park at Towne Lake - 1555	Avg Loss to Lease	$68
Park at Towne Lake - 1555	Avg Actual Rent	$1,155
Pavilions at Deer Chase - 1542	Avg Loss to Lease	$-4
Pavilions at Deer Chase - 1542	Avg Actual Rent	$1,408
Peanut Factory - 1700	Avg Loss to Lease	$244
Peanut Factory - 1700	Avg Actual Rent	$1,239
Perry Place - 1714	Avg Loss to Lease	$60
Perry Place - 1714	Avg Actual Rent	$1,065
Promenade at Belleair - 1514	Avg Loss to Lease	$8
Promenade at Belleair - 1514	Avg Actual Rent	$946
Promenade at Edgewater - 1453	Avg Loss to Lease	$31
Promenade at Edgewater - 1453	Avg Actual Rent	$882
Rock Creek - 1721	Avg Loss to Lease	$11
Rock Creek - 1721	Avg Actual Rent	$1,182
Silverbrook - 1524	Avg Loss to Lease	$4
Silverbrook - 1524	Avg Actual Rent	$779
Stonecastle - 1704	Avg Loss to Lease	$57
Stonecastle - 1704	Avg Actual Rent	$1,174
Stonecrossing East of Westchase - 1461	Avg Loss to Lease	$43
Stonecrossing East of Westchase - 1461	Avg Actual Rent	$936
Stoneleigh on Kenswick - 1468	Avg Loss to Lease	$44
Stoneleigh on Kenswick - 1468	Avg Actual Rent	$916
Summit at Sabal Park, The - 1563	Avg Loss to Lease	$0
Summit at Sabal Park, The - 1563	Avg Actual Rent	$907
Sundance - 1684	Avg Loss to Lease	$62
Sundance - 1684	Avg Actual Rent	$573
TAVA Waters - 1692	Avg Loss to Lease	$202
TAVA Waters - 1692	Avg Actual Rent	$1,405
The Carlyle - 1740	Avg Loss to Lease	$50
The Carlyle - 1740	Avg Actual Rent	$667
The Flats WDM - 1660	Avg Loss to Lease	$83
The Flats WDM - 1660	Avg Actual Rent	$696
The Gregory North - 1663	Avg Loss to Lease	$11
The Gregory North - 1663	Avg Actual Rent	$830
The Gregory South - 1664	Avg Loss to Lease	$29
The Gregory South - 1664	Avg Actual Rent	$890
Tree House - 1455	Avg Loss to Lease	$53
Tree House - 1455	Avg Actual Rent	$639
Triple Crown at Tates Creek - 1656	Avg Loss to Lease	$31
Triple Crown at Tates Creek - 1656	Avg Actual Rent	$668
Tuscany Palms - 1754	Avg Loss to Lease	$-2
Tuscany Palms - 1754	Avg Actual Rent	$690
Willow Grove - 1550	Avg Loss to Lease	$-81
Willow Grove - 1550	Avg Actual Rent	$911
Woodbridge - 1551	Avg Loss to Lease	$-14
Woodbridge - 1551	Avg Actual Rent	$957
