Windscape of Naperville - 1701:Total Advertising and Promotions	Oct 2016	5145.0
Windscape of Naperville - 1701:Total General and Administrative Costs	Oct 2016	4442.0
Windscape of Naperville - 1701:Total Insurance and Bonds	Oct 2016	8731.0
Windscape of Naperville - 1701:Total Labor Costs	Oct 2016	37348.0
Windscape of Naperville - 1701:Total Management Fees	Oct 2016	16235.0
Windscape of Naperville - 1701:Total Other Property Expenses	Oct 2016	2555.0
Windscape of Naperville - 1701:Total Property Taxes	Oct 2016	62270.0
Windscape of Naperville - 1701:Total Repairs and Maintenance	Oct 2016	13477.0
Windscape of Naperville - 1701:Total Utility Costs	Oct 2016	17851.0
Windscape of Naperville - 1701 Total:Windscape of Naperville - 1701 Total	Oct 2016	168053.0
