kpi1:Total Revenue	primary	N\A
kpi1:Total Revenue	secondary	N\A
kpi2:Total Revenue	primary	-2.5%
kpi2:Total Revenue	secondary	NO_VALUE
kpi3:Total Revenue	primary	$-10.41K
kpi3:Total Revenue	secondary	NO_VALUE
kpi4:Total Expenses	primary	N\A
kpi4:Total Expenses	secondary	N\A
kpi5:Total Expenses	primary	2.1%
kpi5:Total Expenses	secondary	NO_VALUE
kpi6:Total Expenses	primary	$3.64K
kpi6:Total Expenses	secondary	NO_VALUE
kpi7:Net Operating Income	primary	N\A
kpi7:Net Operating Income	secondary	N\A
kpi8:Net Operating Income	primary	-2.8%
kpi8:Net Operating Income	secondary	$-6.76K
kpi9:Net Income	primary	N\A
kpi9:Net Income	secondary	N\A
kpi10:Net Income	primary	-2.8%
kpi10:Net Income	secondary	NO_VALUE
kpi11:Net Income	primary	$-3.40K
kpi11:Net Income	secondary	NO_VALUE
