Last Data Shown	Actual	0.0
Last Data Shown	Count	24
Pool Rep/Decks/Equip - Site	Actual	14.4444444444	#00cee6
Pool Rep/Decks/Equip - Site	Budget	0.0	#9b9bd7
Pool Furniture - Site	Actual	4.81481481481	#00cee6
Pool Furniture - Site	Budget	0.0	#9b9bd7
Plants/Lawn - Lscp	Actual	2.22222222222	#00cee6
Plants/Lawn - Lscp	Budget	0.0	#9b9bd7
Equipment - Misc	Actual	0.555555555556	#00cee6
Equipment - Misc	Budget	0.0	#9b9bd7
Exterior Lighting - Site	Actual	0.185185185185	#00cee6
Exterior Lighting - Site	Budget	0.0	#9b9bd7
