Promenade at Uptown - 1668:1. Total Revenue	Oct 2016:Current Year	
Promenade at Uptown - 1668:1. Total Revenue	Oct 2016:Prior Year	
Promenade at Uptown - 1668:1. Total Revenue	Oct 2016:Change $	
Promenade at Uptown - 1668:1. Total Revenue	Oct 2016:Change %	
Promenade at Uptown - 1668:1. Total Revenue	Jul 2017:Current Year	
Promenade at Uptown - 1668:1. Total Revenue	Jul 2017:Prior Year	169924.0
Promenade at Uptown - 1668:1. Total Revenue	Jul 2017:Change $	-169924.0
Promenade at Uptown - 1668:1. Total Revenue	Jul 2017:Change %	-100.0
Promenade at Uptown - 1668:1. Total Revenue	Current Year:Current Year	
Promenade at Uptown - 1668:1. Total Revenue	Prior Year:Prior Year	169924.0
Promenade at Uptown - 1668:1. Total Revenue	Change $:Change $	-169924.0
Promenade at Uptown - 1668:1. Total Revenue	Change %:Change %	-100.0
Promenade at Uptown - 1668:2. Total Expenses	Oct 2016:Current Year	
Promenade at Uptown - 1668:2. Total Expenses	Oct 2016:Prior Year	
Promenade at Uptown - 1668:2. Total Expenses	Oct 2016:Change $	
Promenade at Uptown - 1668:2. Total Expenses	Oct 2016:Change %	
Promenade at Uptown - 1668:2. Total Expenses	Jul 2017:Current Year	
Promenade at Uptown - 1668:2. Total Expenses	Jul 2017:Prior Year	75048.0
Promenade at Uptown - 1668:2. Total Expenses	Jul 2017:Change $	-75048.0
Promenade at Uptown - 1668:2. Total Expenses	Jul 2017:Change %	-100.0
Promenade at Uptown - 1668:2. Total Expenses	Current Year:Current Year	
Promenade at Uptown - 1668:2. Total Expenses	Prior Year:Prior Year	75048.0
Promenade at Uptown - 1668:2. Total Expenses	Change $:Change $	-75048.0
Promenade at Uptown - 1668:2. Total Expenses	Change %:Change %	-100.0
Promenade at Uptown - 1668:3. Net Operating Income	Oct 2016:Current Year	
Promenade at Uptown - 1668:3. Net Operating Income	Oct 2016:Prior Year	
Promenade at Uptown - 1668:3. Net Operating Income	Oct 2016:Change $	
Promenade at Uptown - 1668:3. Net Operating Income	Oct 2016:Change %	
Promenade at Uptown - 1668:3. Net Operating Income	Jul 2017:Current Year	
Promenade at Uptown - 1668:3. Net Operating Income	Jul 2017:Prior Year	94877.0
Promenade at Uptown - 1668:3. Net Operating Income	Jul 2017:Change $	-94877.0
Promenade at Uptown - 1668:3. Net Operating Income	Jul 2017:Change %	-100.0
Promenade at Uptown - 1668:3. Net Operating Income	Current Year:Current Year	
Promenade at Uptown - 1668:3. Net Operating Income	Prior Year:Prior Year	94877.0
Promenade at Uptown - 1668:3. Net Operating Income	Change $:Change $	-94877.0
Promenade at Uptown - 1668:3. Net Operating Income	Change %:Change %	-100.0
Promenade at Uptown - 1668:4. Net Income	Oct 2016:Current Year	
Promenade at Uptown - 1668:4. Net Income	Oct 2016:Prior Year	
Promenade at Uptown - 1668:4. Net Income	Oct 2016:Change $	
Promenade at Uptown - 1668:4. Net Income	Oct 2016:Change %	
Promenade at Uptown - 1668:4. Net Income	Jul 2017:Current Year	
Promenade at Uptown - 1668:4. Net Income	Jul 2017:Prior Year	50595.0
Promenade at Uptown - 1668:4. Net Income	Jul 2017:Change $	-50595.0
Promenade at Uptown - 1668:4. Net Income	Jul 2017:Change %	-100.0
Promenade at Uptown - 1668:4. Net Income	Current Year:Current Year	
Promenade at Uptown - 1668:4. Net Income	Prior Year:Prior Year	50595.0
Promenade at Uptown - 1668:4. Net Income	Change $:Change $	-50595.0
Promenade at Uptown - 1668:4. Net Income	Change %:Change %	-100.0
Windscape of Naperville - 1701:1. Total Revenue	Oct 2016:Current Year	402298.0
Windscape of Naperville - 1701:1. Total Revenue	Oct 2016:Prior Year	
Windscape of Naperville - 1701:1. Total Revenue	Oct 2016:Change $	402298.0
Windscape of Naperville - 1701:1. Total Revenue	Oct 2016:Change %	
Windscape of Naperville - 1701:1. Total Revenue	Jul 2017:Current Year	
Windscape of Naperville - 1701:1. Total Revenue	Jul 2017:Prior Year	
Windscape of Naperville - 1701:1. Total Revenue	Jul 2017:Change $	
Windscape of Naperville - 1701:1. Total Revenue	Jul 2017:Change %	
Windscape of Naperville - 1701:1. Total Revenue	Current Year:Current Year	402298.0
Windscape of Naperville - 1701:1. Total Revenue	Prior Year:Prior Year	
Windscape of Naperville - 1701:1. Total Revenue	Change $:Change $	402298.0
Windscape of Naperville - 1701:1. Total Revenue	Change %:Change %	
