Total Property Taxes	Current Year	62331.4606742	#00cee6
Total Property Taxes	Prior Year	0	N/A
Total Labor Costs	Current Year	37359.5505618	#00cee6
Total Labor Costs	Prior Year	0	N/A
Total Utility Costs	Current Year	17893.258427	#00cee6
Total Utility Costs	Prior Year	0	N/A
Total Management Fees	Current Year	16320.2247191	#00cee6
Total Management Fees	Prior Year	0	N/A
Total Repairs and Maintenance	Current Year	13567.4157303	#00cee6
Total Repairs and Maintenance	Prior Year	0	N/A
Total Insurance and Bonds	Current Year	8651.68539326	#00cee6
Total Insurance and Bonds	Prior Year	0	N/A
Total Advertising and Promotions	Current Year	5112.35955056	#00cee6
Total Advertising and Promotions	Prior Year	0	N/A
Total General and Administrative Costs	Current Year	4522.47191011	#00cee6
Total General and Administrative Costs	Prior Year	0	N/A
Total Other Property Expenses	Current Year	2556.17977528	#00cee6
Total Other Property Expenses	Prior Year	0	N/A
