Ansley Place - 1536	Total Units	246.0
Ansley Place - 1536	Current Occupancy	92.3
Ansley Place - 1536	Future Occ %	87.8
Ansley Place - 1536	Avg Actual Rent	918.0
Ansley Place - 1536	Avg Loss to Lease	248.0
Ansley Place - 1536	Avg Lease Term	12.3
Ansley Place - 1536	Avg Mos. Tenancy	16.8
Ansley Place - 1536	Rented %	32.6
Arbors at Tallwood - 1532	Total Units	120.0
Arbors at Tallwood - 1532	Current Occupancy	93.3
Arbors at Tallwood - 1532	Future Occ %	90.0
Arbors at Tallwood - 1532	Avg Actual Rent	1200.0
Arbors at Tallwood - 1532	Avg Loss to Lease	-6.0
Arbors at Tallwood - 1532	Avg Lease Term	12.0
Arbors at Tallwood - 1532	Avg Mos. Tenancy	28.1
Arbors at Tallwood - 1532	Rented %	7.7
Axis at Westmont - 1645	Total Units	400.0
Axis at Westmont - 1645	Current Occupancy	89.3
Axis at Westmont - 1645	Future Occ %	85.8
Axis at Westmont - 1645	Avg Actual Rent	1064.0
Axis at Westmont - 1645	Avg Loss to Lease	11.0
Axis at Westmont - 1645	Avg Lease Term	11.7
Axis at Westmont - 1645	Avg Mos. Tenancy	28.4
Axis at Westmont - 1645	Rented %	40.0
Bella Vida at Coyote Ridge - 1467	Total Units	528.0
Bella Vida at Coyote Ridge - 1467	Current Occupancy	96.0
Bella Vida at Coyote Ridge - 1467	Future Occ %	90.7
Bella Vida at Coyote Ridge - 1467	Avg Actual Rent	1364.0
Bella Vida at Coyote Ridge - 1467	Avg Loss to Lease	202.0
Bella Vida at Coyote Ridge - 1467	Avg Lease Term	13.2
Bella Vida at Coyote Ridge - 1467	Avg Mos. Tenancy	30.1
Bella Vida at Coyote Ridge - 1467	Rented %	39.0
Bridgeview - 1711	Total Units	348.0
Bridgeview - 1711	Current Occupancy	92.0
Bridgeview - 1711	Future Occ %	89.9
Bridgeview - 1711	Avg Actual Rent	970.0
Bridgeview - 1711	Avg Loss to Lease	49.0
Bridgeview - 1711	Avg Lease Term	12.0
Bridgeview - 1711	Avg Mos. Tenancy	20.3
Bridgeview - 1711	Rented %	10.5
Bristol Place - 1546	Total Units	312.0
Bristol Place - 1546	Current Occupancy	93.6
Bristol Place - 1546	Future Occ %	88.1
Bristol Place - 1546	Avg Actual Rent	1162.0
Bristol Place - 1546	Avg Loss to Lease	4.0
Bristol Place - 1546	Avg Lease Term	11.6
Bristol Place - 1546	Avg Mos. Tenancy	19.2
Bristol Place - 1546	Rented %	22.2
Brookhollow - 1529	Total Units	128.0
Brookhollow - 1529	Current Occupancy	95.3
Brookhollow - 1529	Future Occ %	96.9
Brookhollow - 1529	Avg Actual Rent	785.0
Brookhollow - 1529	Avg Loss to Lease	21.0
Brookhollow - 1529	Avg Lease Term	10.6
Brookhollow - 1529	Avg Mos. Tenancy	26.5
Brookhollow - 1529	Rented %	71.4
Carmel Landing - 1458	Total Units	296.0
Carmel Landing - 1458	Current Occupancy	97.0
Carmel Landing - 1458	Future Occ %	93.6
Carmel Landing - 1458	Avg Actual Rent	888.0
Carmel Landing - 1458	Avg Loss to Lease	25.0
Carmel Landing - 1458	Avg Lease Term	11.5
Carmel Landing - 1458	Avg Mos. Tenancy	26.5
Carmel Landing - 1458	Rented %	33.3
Cedar Trails - 1462	Total Units	120.0
Cedar Trails - 1462	Current Occupancy	93.3
Cedar Trails - 1462	Future Occ %	88.3
Cedar Trails - 1462	Avg Actual Rent	761.0
Cedar Trails - 1462	Avg Loss to Lease	79.0
Cedar Trails - 1462	Avg Lease Term	11.5
Cedar Trails - 1462	Avg Mos. Tenancy	25.4
Cedar Trails - 1462	Rented %	40.9
