Last Data Shown	Vacancy Cost	3245.0
Last Data Shown	Count	1
Ladera Palms - 1450:4201	Unit Type	d1jw
Ladera Palms - 1450:4201	Bed-Bath	N\A
Ladera Palms - 1450:4201	Make Ready Status	Not Ready
Ladera Palms - 1450:4201	Future Rented Status	Unrented
Ladera Palms - 1450:4201	Days Vacant	693.0
Ladera Palms - 1450:4201	Market Rent	916.0
Ladera Palms - 1450:4201	Vacancy Cost	20813.0
Woodbridge - 1551:152	Unit Type	b2unq
Woodbridge - 1551:152	Bed-Bath	N\A
Woodbridge - 1551:152	Make Ready Status	Not Ready
Woodbridge - 1551:152	Future Rented Status	Unrented
Woodbridge - 1551:152	Days Vacant	468.0
Woodbridge - 1551:152	Market Rent	1024.0
Woodbridge - 1551:152	Vacancy Cost	15713.0
The Gregory North - 1663:SS1-2D	Unit Type	a3urk
The Gregory North - 1663:SS1-2D	Bed-Bath	N\A
The Gregory North - 1663:SS1-2D	Make Ready Status	Not Ready
The Gregory North - 1663:SS1-2D	Future Rented Status	Unrented
The Gregory North - 1663:SS1-2D	Days Vacant	279.0
The Gregory North - 1663:SS1-2D	Market Rent	935.0
The Gregory North - 1663:SS1-2D	Vacancy Cost	8553.0
Granite Park - 1670:2245A	Unit Type	B4Uqp
Granite Park - 1670:2245A	Bed-Bath	N\A
Granite Park - 1670:2245A	Make Ready Status	Not Ready
Granite Park - 1670:2245A	Future Rented Status	Unrented
Granite Park - 1670:2245A	Days Vacant	282.0
Granite Park - 1670:2245A	Market Rent	925.0
Granite Park - 1670:2245A	Vacancy Cost	8552.0
The Gregory South - 1664:7SD-1A	Unit Type	c1uru
The Gregory South - 1664:7SD-1A	Bed-Bath	N\A
The Gregory South - 1664:7SD-1A	Make Ready Status	Not Ready
The Gregory South - 1664:7SD-1A	Future Rented Status	Unrented
The Gregory South - 1664:7SD-1A	Days Vacant	205.0
The Gregory South - 1664:7SD-1A	Market Rent	1240.0
The Gregory South - 1664:7SD-1A	Vacancy Cost	8334.0
Tree House - 1455:145	Unit Type	c1kc
Tree House - 1455:145	Bed-Bath	N\A
Tree House - 1455:145	Make Ready Status	Not Ready
Tree House - 1455:145	Future Rented Status	Unrented
Tree House - 1455:145	Days Vacant	229.0
Tree House - 1455:145	Market Rent	990.0
Tree House - 1455:145	Vacancy Cost	7433.0
Concord at Allendale - 1466:0130	Unit Type	B1ko
Concord at Allendale - 1466:0130	Bed-Bath	N\A
Concord at Allendale - 1466:0130	Make Ready Status	Not Ready
Concord at Allendale - 1466:0130	Future Rented Status	Unrented
Concord at Allendale - 1466:0130	Days Vacant	205.0
Concord at Allendale - 1466:0130	Market Rent	1060.0
Concord at Allendale - 1466:0130	Vacancy Cost	7125.0
The Gregory North - 1663:N06-2F	Unit Type	b3urk
The Gregory North - 1663:N06-2F	Bed-Bath	N\A
The Gregory North - 1663:N06-2F	Make Ready Status	Not Ready
The Gregory North - 1663:N06-2F	Future Rented Status	Unrented
The Gregory North - 1663:N06-2F	Days Vacant	174.0
The Gregory North - 1663:N06-2F	Market Rent	1080.0
The Gregory North - 1663:N06-2F	Vacancy Cost	6161.0
