Rented	Not Ready:Vacant Units	108.0
Rented	Not Ready:Avg Days Vacant	29.0
Rented	Ready:Vacant Units	96.0
Rented	Ready:Avg Days Vacant	78.0
Rented	Vacant Units:Vacant Units	204.0
Rented	Avg Days Vacant:Avg Days Vacant	52.0
Unrented	Not Ready:Vacant Units	153.0
Unrented	Not Ready:Avg Days Vacant	39.0
Unrented	Ready:Vacant Units	111.0
Unrented	Ready:Avg Days Vacant	85.0
Unrented	Vacant Units:Vacant Units	264.0
Unrented	Avg Days Vacant:Avg Days Vacant	58.0
Grand Total	Not Ready:Vacant Units	261.0
Grand Total	Not Ready:Avg Days Vacant	34.0
Grand Total	Ready:Vacant Units	207.0
Grand Total	Ready:Avg Days Vacant	81.0
Grand Total	Vacant Units:Vacant Units	468.0
Grand Total	Avg Days Vacant:Avg Days Vacant	56.0
