Bristol Place	Conversion %	15.2%
Bristol Place	Cost Per Application	$0
Chatham Village	Conversion %	20.0%
Chatham Village	Cost Per Application	$0
City Parc at Keller	Conversion %	10.9%
City Parc at Keller	Cost Per Application	$0
Hawthorne Ridge	Conversion %	12.0%
Hawthorne Ridge	Cost Per Application	$0
Landings at Brooks City Base	Conversion %	13.3%
Landings at Brooks City Base	Cost Per Application	$0
Maple Springs	Conversion %	12.0%
Maple Springs	Cost Per Application	$0
Oaks at Greenview, The	Conversion %	12.0%
Oaks at Greenview, The	Cost Per Application	$0
Park at Johns Creek	Conversion %	6.3%
Park at Johns Creek	Cost Per Application	$0
Park at Towne Lake	Conversion %	12.0%
Park at Towne Lake	Cost Per Application	$0
Pavilions at Deer Chase	Conversion %	9.8%
Pavilions at Deer Chase	Cost Per Application	$0
Summit at Sabal Park, The	Conversion %	5.3%
Summit at Sabal Park, The	Cost Per Application	$0
Sundance	Conversion %	15.3%
Sundance	Cost Per Application	$0
The Carlyle	Conversion %	15.9%
The Carlyle	Cost Per Application	$0
The Flats WDM	Conversion %	8.6%
The Flats WDM	Cost Per Application	$0
Willow Grove	Conversion %	8.7%
Willow Grove	Cost Per Application	$0
Woodbridge	Conversion %	2.4%
Woodbridge	Cost Per Application	$0
