Bristol Place	Conversion %	15.2
Bristol Place	Cost Per Application	0.0
Bristol Place	Move-In Percent	7.8
Bristol Place	Cost Per Move-In	0.0
Chatham Village	Conversion %	20.0
Chatham Village	Cost Per Application	0.0
Chatham Village	Move-In Percent	9.3
Chatham Village	Cost Per Move-In	0.0
City Parc at Keller	Conversion %	10.9
City Parc at Keller	Cost Per Application	0.0
City Parc at Keller	Move-In Percent	5.2
City Parc at Keller	Cost Per Move-In	0.0
Hawthorne Ridge	Conversion %	12.0
Hawthorne Ridge	Cost Per Application	0.0
Hawthorne Ridge	Move-In Percent	4.5
Hawthorne Ridge	Cost Per Move-In	0.0
Landings at Brooks City Base	Conversion %	13.3
Landings at Brooks City Base	Cost Per Application	0.0
Landings at Brooks City Base	Move-In Percent	6.2
Landings at Brooks City Base	Cost Per Move-In	0.0
Maple Springs	Conversion %	12.0
Maple Springs	Cost Per Application	0.0
Maple Springs	Move-In Percent	6.1
Maple Springs	Cost Per Move-In	0.0
Oaks at Greenview, The	Conversion %	12.0
Oaks at Greenview, The	Cost Per Application	0.0
Oaks at Greenview, The	Move-In Percent	6.0
Oaks at Greenview, The	Cost Per Move-In	0.0
Park at Johns Creek	Conversion %	6.3
Park at Johns Creek	Cost Per Application	0.0
Park at Johns Creek	Move-In Percent	3.2
Park at Johns Creek	Cost Per Move-In	0.0
Park at Towne Lake	Conversion %	12.0
Park at Towne Lake	Cost Per Application	0.0
Park at Towne Lake	Move-In Percent	3.3
Park at Towne Lake	Cost Per Move-In	0.0
Pavilions at Deer Chase	Conversion %	9.8
Pavilions at Deer Chase	Cost Per Application	0.0
Pavilions at Deer Chase	Move-In Percent	4.6
Pavilions at Deer Chase	Cost Per Move-In	0.0
Summit at Sabal Park, The	Conversion %	5.3
Summit at Sabal Park, The	Cost Per Application	0.0
Summit at Sabal Park, The	Move-In Percent	3.0
Summit at Sabal Park, The	Cost Per Move-In	0.0
Sundance	Conversion %	15.3
Sundance	Cost Per Application	0.0
Sundance	Move-In Percent	7.8
Sundance	Cost Per Move-In	0.0
The Carlyle	Conversion %	15.9
The Carlyle	Cost Per Application	0.0
The Carlyle	Move-In Percent	6.2
The Carlyle	Cost Per Move-In	0.0
The Flats WDM	Conversion %	8.6
The Flats WDM	Cost Per Application	0.0
The Flats WDM	Move-In Percent	3.2
The Flats WDM	Cost Per Move-In	0.0
Willow Grove	Conversion %	8.7
Willow Grove	Cost Per Application	0.0
Willow Grove	Move-In Percent	4.2
Willow Grove	Cost Per Move-In	0.0
Windscape of Naperville	Conversion %	
Windscape of Naperville	Cost Per Application	
Windscape of Naperville	Move-In Percent	
Windscape of Naperville	Cost Per Move-In	
Woodbridge	Conversion %	2.4
Woodbridge	Cost Per Application	0.0
Woodbridge	Move-In Percent	1.4
Woodbridge	Cost Per Move-In	0.0
Grand Total	Conversion %	10.2
Grand Total	Cost Per Application	7.0
Grand Total	Move-In Percent	4.7
Grand Total	Cost Per Move-In	15.0
