Ansley Place	Current Occupancy	97.56
Ansley Place	Future Occupancy	91.06
Ansley Place	15 Day Occ Change	0.0
Ansley Place	30 Day Occ Change	0.0
Ansley Place	60 Day Occ Change	0.0
Ansley Place	Exposure %	8.54
Arbors at Tallwood	Current Occupancy	96.67
Arbors at Tallwood	Future Occupancy	89.17
Arbors at Tallwood	15 Day Occ Change	0.0
Arbors at Tallwood	30 Day Occ Change	0.0
Arbors at Tallwood	60 Day Occ Change	0.0
Arbors at Tallwood	Exposure %	10.0
Axis at Westmont	Current Occupancy	89.25
Axis at Westmont	Future Occupancy	85.75
Axis at Westmont	15 Day Occ Change	0.0
Axis at Westmont	30 Day Occ Change	0.0
Axis at Westmont	60 Day Occ Change	0.0
Axis at Westmont	Exposure %	9.0
Bella Vida at Coyote Ridge	Current Occupancy	96.02
Bella Vida at Coyote Ridge	Future Occupancy	90.72
Bella Vida at Coyote Ridge	15 Day Occ Change	0.0
Bella Vida at Coyote Ridge	30 Day Occ Change	0.0
Bella Vida at Coyote Ridge	60 Day Occ Change	0.0
Bella Vida at Coyote Ridge	Exposure %	8.9
Brookhollow	Current Occupancy	97.66
Brookhollow	Future Occupancy	96.88
Brookhollow	15 Day Occ Change	0.0
Brookhollow	30 Day Occ Change	0.0
Brookhollow	60 Day Occ Change	0.0
Brookhollow	Exposure %	3.13
Carmel Landing	Current Occupancy	96.96
Carmel Landing	Future Occupancy	93.58
Carmel Landing	15 Day Occ Change	0.0
Carmel Landing	30 Day Occ Change	0.0
Carmel Landing	60 Day Occ Change	0.0
Carmel Landing	Exposure %	6.08
Cedar Trails	Current Occupancy	93.33
Cedar Trails	Future Occupancy	88.33
Cedar Trails	15 Day Occ Change	0.0
Cedar Trails	30 Day Occ Change	0.0
Cedar Trails	60 Day Occ Change	0.0
Cedar Trails	Exposure %	10.83
Chelsea Creek	Current Occupancy	96.11
Chelsea Creek	Future Occupancy	92.22
Chelsea Creek	15 Day Occ Change	0.0
Chelsea Creek	30 Day Occ Change	0.0
Chelsea Creek	60 Day Occ Change	0.0
Chelsea Creek	Exposure %	7.22
Concord at Allendale	Current Occupancy	92.8
Concord at Allendale	Future Occupancy	89.02
Concord at Allendale	15 Day Occ Change	0.0
Concord at Allendale	30 Day Occ Change	0.0
Concord at Allendale	60 Day Occ Change	0.0
Concord at Allendale	Exposure %	10.23
Ladera Palms	Current Occupancy	96.43
Ladera Palms	Future Occupancy	94.39
Ladera Palms	15 Day Occ Change	0.0
Ladera Palms	30 Day Occ Change	0.0
Ladera Palms	60 Day Occ Change	0.0
Ladera Palms	Exposure %	5.1
Lakes at Fountain Square	Current Occupancy	96.09
Lakes at Fountain Square	Future Occupancy	91.67
Lakes at Fountain Square	15 Day Occ Change	0.0
Lakes at Fountain Square	30 Day Occ Change	0.0
Lakes at Fountain Square	60 Day Occ Change	0.0
Lakes at Fountain Square	Exposure %	8.07
Oaks at Greenview, The	Current Occupancy	91.67
Oaks at Greenview, The	Future Occupancy	91.0
Oaks at Greenview, The	15 Day Occ Change	0.0
Oaks at Greenview, The	30 Day Occ Change	0.0
Oaks at Greenview, The	60 Day Occ Change	0.0
Oaks at Greenview, The	Exposure %	8.67
Park at Peachtree Corners	Current Occupancy	92.61
Park at Peachtree Corners	Future Occupancy	87.61
Park at Peachtree Corners	15 Day Occ Change	-0.65
Park at Peachtree Corners	30 Day Occ Change	-0.65
Park at Peachtree Corners	60 Day Occ Change	-0.65
Park at Peachtree Corners	Exposure %	11.96
Promenade at Belleair	Current Occupancy	93.1
Promenade at Belleair	Future Occupancy	91.03
Promenade at Belleair	15 Day Occ Change	0.0
Promenade at Belleair	30 Day Occ Change	0.0
Promenade at Belleair	60 Day Occ Change	0.0
Promenade at Belleair	Exposure %	8.97
Promenade at Edgewater	Current Occupancy	92.02
Promenade at Edgewater	Future Occupancy	89.36
Promenade at Edgewater	15 Day Occ Change	0.0
Promenade at Edgewater	30 Day Occ Change	0.0
Promenade at Edgewater	60 Day Occ Change	0.0
Promenade at Edgewater	Exposure %	10.64
Regatta Bay	Current Occupancy	93.33
Regatta Bay	Future Occupancy	88.33
Regatta Bay	15 Day Occ Change	0.0
Regatta Bay	30 Day Occ Change	0.0
Regatta Bay	60 Day Occ Change	0.0
Regatta Bay	Exposure %	11.25
Silverbrook	Current Occupancy	94.7
Silverbrook	Future Occupancy	90.03
Silverbrook	15 Day Occ Change	0.0
Silverbrook	30 Day Occ Change	0.0
Silverbrook	60 Day Occ Change	0.0
Silverbrook	Exposure %	9.81
