kpi1:Total Count	primary	0
kpi1:Total Count	secondary	0
kpi2:All Units	primary	N\A
kpi2:All Units	secondary	$0
kpi3:Renewals	primary	N\A
kpi3:Renewals	secondary	$0
kpi4:New Leases	primary	N\A
kpi4:New Leases	secondary	$0
kpi5:Avg Rent Last 30 Days	primary	N\A
kpi5:Avg Rent Last 30 Days	secondary	N\A
kpi6:Avg Rent Last 60 Days	primary	N\A
kpi6:Avg Rent Last 60 Days	secondary	N\A
kpi7:Avg Rent Last 90 Days	primary	N\A
kpi7:Avg Rent Last 90 Days	secondary	N\A
kpi8:Renewal Ratio	primary	NO_VALUE
kpi8:Renewal Ratio	secondary	NO_VALUE
kpi9:T-12 Averages	primary	N\A
kpi9:T-12 Averages	secondary	N\A
kpi10:T-12 Averages	primary	N\A
kpi10:T-12 Averages	secondary	N\A
kpi11:Renewal Ratio by Month	primary	NO_VALUE
kpi11:Renewal Ratio by Month	secondary	NO_VALUE
