Ansley Place:0234	Unit Type	B1ap
Ansley Place:0234	Bed-Bath	2 X 2
Ansley Place:0234	Unit SF	1071.0
Ansley Place:0234	Occupancy Status	Vacant
Ansley Place:0234	Future Rented?	Rented
Ansley Place:0234	Made Ready?	Not Ready
Ansley Place:0234	Vacancy Cost	80.0
Ansley Place:0234	Days Vacant	2.0
Ansley Place:0234	Market Rent	1220.0
Ansley Place:0311	Unit Type	C1ap
Ansley Place:0311	Bed-Bath	3 X 2
Ansley Place:0311	Unit SF	1287.0
Ansley Place:0311	Occupancy Status	Vacant
Ansley Place:0311	Future Rented?	Unrented
Ansley Place:0311	Made Ready?	Not Ready
Ansley Place:0311	Vacancy Cost	327.0
Ansley Place:0311	Days Vacant	7.0
Ansley Place:0311	Market Rent	1425.0
Ansley Place:0432	Unit Type	B2ap
Ansley Place:0432	Bed-Bath	2 X 2
Ansley Place:0432	Unit SF	1171.0
Ansley Place:0432	Occupancy Status	Vacant
Ansley Place:0432	Future Rented?	Unrented
Ansley Place:0432	Made Ready?	Ready
Ansley Place:0432	Vacancy Cost	549.0
Ansley Place:0432	Days Vacant	14.0
Ansley Place:0432	Market Rent	1195.0
Ansley Place:0835	Unit Type	A4ap
Ansley Place:0835	Bed-Bath	1 X 1
Ansley Place:0835	Unit SF	851.0
Ansley Place:0835	Occupancy Status	Vacant
Ansley Place:0835	Future Rented?	Unrented
Ansley Place:0835	Made Ready?	Not Ready
Ansley Place:0835	Vacancy Cost	71.0
Ansley Place:0835	Days Vacant	2.0
Ansley Place:0835	Market Rent	1085.0
Ansley Place:1233	Unit Type	B2ap
Ansley Place:1233	Bed-Bath	2 X 2
Ansley Place:1233	Unit SF	1171.0
Ansley Place:1233	Occupancy Status	Vacant
Ansley Place:1233	Future Rented?	Rented
Ansley Place:1233	Made Ready?	Ready
Ansley Place:1233	Vacancy Cost	4699.0
Ansley Place:1233	Days Vacant	117.0
Ansley Place:1233	Market Rent	1225.0
Arbors at Tallwood:016	Unit Type	b1umz
Arbors at Tallwood:016	Bed-Bath	2 X 2
Arbors at Tallwood:016	Unit SF	966.0
Arbors at Tallwood:016	Occupancy Status	Vacant
Arbors at Tallwood:016	Future Rented?	Unrented
Arbors at Tallwood:016	Made Ready?	Ready
Arbors at Tallwood:016	Vacancy Cost	2696.0
Arbors at Tallwood:016	Days Vacant	65.0
Arbors at Tallwood:016	Market Rent	1265.0
Arbors at Tallwood:078	Unit Type	c2umz
Arbors at Tallwood:078	Bed-Bath	3 X 2
Arbors at Tallwood:078	Unit SF	1354.0
Arbors at Tallwood:078	Occupancy Status	Vacant
Arbors at Tallwood:078	Future Rented?	Rented
Arbors at Tallwood:078	Made Ready?	Not Ready
Arbors at Tallwood:078	Vacancy Cost	195.0
Arbors at Tallwood:078	Days Vacant	4.0
Arbors at Tallwood:078	Market Rent	1485.0
Arbors at Tallwood:306	Unit Type	a1umz
Arbors at Tallwood:306	Bed-Bath	1 X 1
Arbors at Tallwood:306	Unit SF	700.0
Arbors at Tallwood:306	Occupancy Status	Vacant
Arbors at Tallwood:306	Future Rented?	Unrented
Arbors at Tallwood:306	Made Ready?	Ready
Arbors at Tallwood:306	Vacancy Cost	2524.0
Arbors at Tallwood:306	Days Vacant	86.0
Arbors at Tallwood:306	Market Rent	895.0
Axis at Westmont:01.106	Unit Type	a1uix
Axis at Westmont:01.106	Bed-Bath	1 X 1
Axis at Westmont:01.106	Unit SF	750.0
Axis at Westmont:01.106	Occupancy Status	Vacant
Axis at Westmont:01.106	Future Rented?	Unrented
Axis at Westmont:01.106	Made Ready?	Not Ready
Axis at Westmont:01.106	Vacancy Cost	556.0
Axis at Westmont:01.106	Days Vacant	17.0
Axis at Westmont:01.106	Market Rent	997.0
Axis at Westmont:01.204	Unit Type	b1uix
Axis at Westmont:01.204	Bed-Bath	2 X 1.5
Axis at Westmont:01.204	Unit SF	1075.0
Axis at Westmont:01.204	Occupancy Status	Vacant
Axis at Westmont:01.204	Future Rented?	Rented
Axis at Westmont:01.204	Made Ready?	Not Ready
Axis at Westmont:01.204	Vacancy Cost	1052.0
Axis at Westmont:01.204	Days Vacant	27.0
Axis at Westmont:01.204	Market Rent	1188.0
Axis at Westmont:03.109	Unit Type	a2uix
Axis at Westmont:03.109	Bed-Bath	1 X 1
Axis at Westmont:03.109	Unit SF	850.0
Axis at Westmont:03.109	Occupancy Status	Vacant
Axis at Westmont:03.109	Future Rented?	Unrented
Axis at Westmont:03.109	Made Ready?	Not Ready
Axis at Westmont:03.109	Vacancy Cost	670.0
Axis at Westmont:03.109	Days Vacant	19.0
Axis at Westmont:03.109	Market Rent	1076.0
Axis at Westmont:04.207	Unit Type	b1uix
Axis at Westmont:04.207	Bed-Bath	2 X 1.5
Axis at Westmont:04.207	Unit SF	1075.0
Axis at Westmont:04.207	Occupancy Status	Vacant
Axis at Westmont:04.207	Future Rented?	Rented
Axis at Westmont:04.207	Made Ready?	Not Ready
Axis at Westmont:04.207	Vacancy Cost	797.0
Axis at Westmont:04.207	Days Vacant	21.0
Axis at Westmont:04.207	Market Rent	1158.0
Axis at Westmont:05.107	Unit Type	A1Pix
Axis at Westmont:05.107	Bed-Bath	1 X 1
Axis at Westmont:05.107	Unit SF	750.0
Axis at Westmont:05.107	Occupancy Status	Vacant
Axis at Westmont:05.107	Future Rented?	Unrented
Axis at Westmont:05.107	Made Ready?	Not Ready
Axis at Westmont:05.107	Vacancy Cost	254.0
Axis at Westmont:05.107	Days Vacant	8.0
Axis at Westmont:05.107	Market Rent	967.0
Axis at Westmont:06.108	Unit Type	a2uix
Axis at Westmont:06.108	Bed-Bath	1 X 1
Axis at Westmont:06.108	Unit SF	850.0
Axis at Westmont:06.108	Occupancy Status	Vacant
Axis at Westmont:06.108	Future Rented?	Unrented
Axis at Westmont:06.108	Made Ready?	Not Ready
Axis at Westmont:06.108	Vacancy Cost	496.0
Axis at Westmont:06.108	Days Vacant	14.0
Axis at Westmont:06.108	Market Rent	1081.0
Axis at Westmont:06.109	Unit Type	a2ix
