Ansley Place	Avg Loss To Lease	$0.20
Ansley Place	Avg Actual Rent PSF	$1.01
Arbors at Tallwood	Avg Loss To Lease	$-0.01
Arbors at Tallwood	Avg Actual Rent PSF	$1.18
Axis at Westmont	Avg Loss To Lease	$0.01
Axis at Westmont	Avg Actual Rent PSF	$1.10
Bella Vida at Coyote Ridge	Avg Loss To Lease	$0.15
Bella Vida at Coyote Ridge	Avg Actual Rent PSF	$1.03
Brookhollow	Avg Loss To Lease	$0.02
Brookhollow	Avg Actual Rent PSF	$0.93
Carmel Landing	Avg Loss To Lease	$0.03
Carmel Landing	Avg Actual Rent PSF	$0.92
Cedar Trails	Avg Loss To Lease	$0.10
Cedar Trails	Avg Actual Rent PSF	$0.96
Chelsea Creek	Avg Loss To Lease	$0.04
Chelsea Creek	Avg Actual Rent PSF	$0.94
Concord at Allendale	Avg Loss To Lease	$0.05
Concord at Allendale	Avg Actual Rent PSF	$0.80
Ladera Palms	Avg Loss To Lease	$0.12
Ladera Palms	Avg Actual Rent PSF	$0.82
Lakes at Fountain Square	Avg Loss To Lease	$0.10
Lakes at Fountain Square	Avg Actual Rent PSF	$1.25
Oaks at Greenview, The	Avg Loss To Lease	$0.01
Oaks at Greenview, The	Avg Actual Rent PSF	$1.11
Park at Peachtree Corners	Avg Loss To Lease	$0.06
Park at Peachtree Corners	Avg Actual Rent PSF	$1.07
Promenade at Belleair	Avg Loss To Lease	$0.02
Promenade at Belleair	Avg Actual Rent PSF	$1.07
Promenade at Edgewater	Avg Loss To Lease	$0.04
Promenade at Edgewater	Avg Actual Rent PSF	$1.03
Regatta Bay	Avg Loss To Lease	$-0.05
Regatta Bay	Avg Actual Rent PSF	$1.24
Silverbrook	Avg Loss To Lease	$-0.02
Silverbrook	Avg Actual Rent PSF	$0.89
Stonecrossing East of Westchase	Avg Loss To Lease	$0.04
Stonecrossing East of Westchase	Avg Actual Rent PSF	$0.97
Stoneleigh on Kenswick	Avg Loss To Lease	$0.06
Stoneleigh on Kenswick	Avg Actual Rent PSF	$1.23
Terraces at Perkins Rowe	Avg Loss To Lease	$0.08
Terraces at Perkins Rowe	Avg Actual Rent PSF	$1.43
The Gregory North	Avg Loss To Lease	$0.01
The Gregory North	Avg Actual Rent PSF	$1.08
The Gregory South	Avg Loss To Lease	$0.03
The Gregory South	Avg Actual Rent PSF	$0.97
Timberglen	Avg Loss To Lease	$-0.10
Timberglen	Avg Actual Rent PSF	$1.06
Tree House	Avg Loss To Lease	$0.06
Tree House	Avg Actual Rent PSF	$0.76
Triple Crown at Tates Creek	Avg Loss To Lease	$0.04
Triple Crown at Tates Creek	Avg Actual Rent PSF	$0.80
