Ansley Place	Avg Loss to Lease	$191
Ansley Place	Avg Actual Rent	$962
Arbors at Tallwood	Avg Loss to Lease	$-11
Arbors at Tallwood	Avg Actual Rent	$1,166
Axis at Westmont	Avg Loss to Lease	$11
Axis at Westmont	Avg Actual Rent	$1,064
Bella Vida at Coyote Ridge	Avg Loss to Lease	$202
Bella Vida at Coyote Ridge	Avg Actual Rent	$1,364
Brookhollow	Avg Loss to Lease	$18
Brookhollow	Avg Actual Rent	$762
Carmel Landing	Avg Loss to Lease	$25
Carmel Landing	Avg Actual Rent	$888
Cedar Trails	Avg Loss to Lease	$79
Cedar Trails	Avg Actual Rent	$761
Chelsea Creek	Avg Loss to Lease	$32
Chelsea Creek	Avg Actual Rent	$687
Concord at Allendale	Avg Loss to Lease	$60
Concord at Allendale	Avg Actual Rent	$928
Ladera Palms	Avg Loss to Lease	$100
Ladera Palms	Avg Actual Rent	$692
Lakes at Fountain Square	Avg Loss to Lease	$79
Lakes at Fountain Square	Avg Actual Rent	$991
Oaks at Greenview, The	Avg Loss to Lease	$10
Oaks at Greenview, The	Avg Actual Rent	$832
Park at Peachtree Corners	Avg Loss to Lease	$56
Park at Peachtree Corners	Avg Actual Rent	$921
Promenade at Belleair	Avg Loss to Lease	$18
Promenade at Belleair	Avg Actual Rent	$865
Promenade at Edgewater	Avg Loss to Lease	$31
Promenade at Edgewater	Avg Actual Rent	$882
Regatta Bay	Avg Loss to Lease	$-39
Regatta Bay	Avg Actual Rent	$1,038
Silverbrook	Avg Loss to Lease	$-17
Silverbrook	Avg Actual Rent	$732
Stonecrossing East of Westchase	Avg Loss to Lease	$43
Stonecrossing East of Westchase	Avg Actual Rent	$936
Stoneleigh on Kenswick	Avg Loss to Lease	$44
Stoneleigh on Kenswick	Avg Actual Rent	$916
Terraces at Perkins Rowe	Avg Loss to Lease	$78
Terraces at Perkins Rowe	Avg Actual Rent	$1,432
The Gregory North	Avg Loss to Lease	$11
The Gregory North	Avg Actual Rent	$830
The Gregory South	Avg Loss to Lease	$29
The Gregory South	Avg Actual Rent	$890
Timberglen	Avg Loss to Lease	$-70
Timberglen	Avg Actual Rent	$771
Tree House	Avg Loss to Lease	$53
Tree House	Avg Actual Rent	$639
Triple Crown at Tates Creek	Avg Loss to Lease	$31
Triple Crown at Tates Creek	Avg Actual Rent	$668
