Windscape of Naperville:Total Advertising and Promotions	Oct 2016	5145.0
Windscape of Naperville:Total General and Administrative Costs	Oct 2016	4442.0
Windscape of Naperville:Total Insurance and Bonds	Oct 2016	8731.0
Windscape of Naperville:Total Labor Costs	Oct 2016	37348.0
Windscape of Naperville:Total Management Fees	Oct 2016	16235.0
Windscape of Naperville:Total Other Property Expenses	Oct 2016	2555.0
Windscape of Naperville:Total Property Taxes	Oct 2016	62270.0
Windscape of Naperville:Total Repairs and Maintenance	Oct 2016	13477.0
Windscape of Naperville:Total Utility Costs	Oct 2016	17851.0
Windscape of Naperville Total:Windscape of Naperville Total	Oct 2016	168053.0
