Last Data Shown	Actual	0.0
Last Data Shown	Count	4
Total Nonrec Capital Exp-Site Impr	Actual	19.262295082	#00cee6
Total Nonrec Capital Exp-Site Impr	Budget	2.29508196721	#9b9bd7
Total Recurring Capital Exp-Interiors	Actual	16.5573770492	#00cee6
Total Recurring Capital Exp-Interiors	Budget	19.5901639344	#9b9bd7
Total Recurring Capital Exp-Other	Actual	2.86885245902	#00cee6
Total Recurring Capital Exp-Other	Budget	5.32786885246	#9b9bd7
Total Nonrec Capital Exp-Landscaping	Actual	2.2131147541	#00cee6
Total Nonrec Capital Exp-Landscaping	Budget	0.0	#9b9bd7
Total Nonrec Capital Exp-Other	Actual	0.245901639344	#00cee6
Total Nonrec Capital Exp-Other	Budget	0.0	#9b9bd7
