Windscape of Naperville:1. Total Revenue	Oct 2016:Current Year	402298.0
Windscape of Naperville:1. Total Revenue	Oct 2016:Prior Year	
Windscape of Naperville:1. Total Revenue	Oct 2016:Change $	402298.0
Windscape of Naperville:1. Total Revenue	Oct 2016:Change %	
Windscape of Naperville:2. Total Expenses	Oct 2016:Current Year	168053.0
Windscape of Naperville:2. Total Expenses	Oct 2016:Prior Year	
Windscape of Naperville:2. Total Expenses	Oct 2016:Change $	168053.0
Windscape of Naperville:2. Total Expenses	Oct 2016:Change %	
Windscape of Naperville:3. Net Operating Income	Oct 2016:Current Year	234246.0
Windscape of Naperville:3. Net Operating Income	Oct 2016:Prior Year	
Windscape of Naperville:3. Net Operating Income	Oct 2016:Change $	234246.0
Windscape of Naperville:3. Net Operating Income	Oct 2016:Change %	
Windscape of Naperville:4. Net Income	Oct 2016:Current Year	116474.0
Windscape of Naperville:4. Net Income	Oct 2016:Prior Year	
Windscape of Naperville:4. Net Income	Oct 2016:Change $	116474.0
Windscape of Naperville:4. Net Income	Oct 2016:Change %	
