kpi1:Net Total Utilities	primary	$17.85K
kpi1:Net Total Utilities	secondary	$19.49K
kpi2:% Variance	primary	8.4%
kpi2:% Variance	secondary	$1.64K
kpi3:Actual per Unit	primary	N\A
kpi3:Actual per Unit	secondary	N\A
kpi4:Actual Recovery %	primary	54.9%
kpi4:Actual Recovery %	secondary	60.3%
kpi5:Water Recovery %	primary	79.3%
kpi5:Water Recovery %	secondary	72.6%
kpi6:Electric Recovery %	primary	0%
kpi6:Electric Recovery %	secondary	0%
kpi7:Gas Recovery %	primary	0%
kpi7:Gas Recovery %	secondary	0%
kpi8:Trash Recovery %	primary	85.0%
kpi8:Trash Recovery %	secondary	93.3%
kpi9:% of Revenue	primary	4.4%
kpi9:% of Revenue	secondary	NO_VALUE
kpi10:% of Expenses	primary	10.6%
kpi10:% of Expenses	secondary	NO_VALUE
