kpi1:# Properties	primary	223
kpi1:# Properties	secondary	7,603
kpi2:Current Occupancy %	primary	92.3%
kpi2:Current Occupancy %	secondary	89.1%
kpi3:Avg Actual  Rent	primary	$904
kpi3:Avg Actual  Rent	secondary	$50
kpi4:NOI Budget Variance %	primary	-2.8%
kpi4:NOI Budget Variance %	secondary	$-6.76K
kpi5:YoY NOI Δ	primary	N\A
kpi5:YoY NOI Δ	secondary	$234.2K
kpi6:YoY Potential Rent Δ	primary	N\A
kpi6:YoY Potential Rent Δ	secondary	$415.4K
kpi7:Expense Ratio	primary	41.8%
kpi7:Expense Ratio	secondary	NO_VALUE
