Ansley Place:0110	Bed-Bath	2 X 2
Ansley Place:0110	Unit Type	B1ap
Ansley Place:0110	Occupancy Status	Admin/Down
Ansley Place:0110	Market Rent	1225.0
Ansley Place:0110	Lease Start	N\A
Ansley Place:0110	Lease End	08/15/2016
Arbors at Tallwood:075	Bed-Bath	2 X 2
Arbors at Tallwood:075	Unit Type	b1umz
Arbors at Tallwood:075	Occupancy Status	Admin/Down
Arbors at Tallwood:075	Market Rent	1265.0
Arbors at Tallwood:075	Lease Start	N\A
Arbors at Tallwood:075	Lease End	08/15/2016
Axis at Westmont:06.101	Bed-Bath	2 X 1.5
Axis at Westmont:06.101	Unit Type	b3uix
Axis at Westmont:06.101	Occupancy Status	Admin/Down
Axis at Westmont:06.101	Market Rent	1249.0
Axis at Westmont:06.101	Lease Start	N\A
Axis at Westmont:06.101	Lease End	10/11/2017
Axis at Westmont:13.101	Bed-Bath	2 X 1.5
Axis at Westmont:13.101	Unit Type	b3ix
Axis at Westmont:13.101	Occupancy Status	Admin/Down
Axis at Westmont:13.101	Market Rent	1133.0
Axis at Westmont:13.101	Lease Start	N\A
Axis at Westmont:13.101	Lease End	N\A
Axis at Westmont:13.102	Bed-Bath	1 X 1
Axis at Westmont:13.102	Unit Type	a2uix
Axis at Westmont:13.102	Occupancy Status	Admin/Down
Axis at Westmont:13.102	Market Rent	1041.0
Axis at Westmont:13.102	Lease Start	N\A
Axis at Westmont:13.102	Lease End	N\A
Axis at Westmont:13.103	Bed-Bath	1 X 1
Axis at Westmont:13.103	Unit Type	a2uix
Axis at Westmont:13.103	Occupancy Status	Admin/Down
Axis at Westmont:13.103	Market Rent	1041.0
Axis at Westmont:13.103	Lease Start	N\A
Axis at Westmont:13.103	Lease End	N\A
Axis at Westmont:13.104	Bed-Bath	2 X 1.5
Axis at Westmont:13.104	Unit Type	b1ix
Axis at Westmont:13.104	Occupancy Status	Admin/Down
Axis at Westmont:13.104	Market Rent	1038.0
Axis at Westmont:13.104	Lease Start	N\A
Axis at Westmont:13.104	Lease End	N\A
Axis at Westmont:13.105	Bed-Bath	2 X 1.5
Axis at Westmont:13.105	Unit Type	b3ix
Axis at Westmont:13.105	Occupancy Status	Admin/Down
Axis at Westmont:13.105	Market Rent	1134.0
Axis at Westmont:13.105	Lease Start	N\A
Axis at Westmont:13.105	Lease End	N\A
Axis at Westmont:13.106	Bed-Bath	1 X 1
Axis at Westmont:13.106	Unit Type	a1ix
Axis at Westmont:13.106	Occupancy Status	Admin/Down
Axis at Westmont:13.106	Market Rent	882.0
Axis at Westmont:13.106	Lease Start	N\A
Axis at Westmont:13.106	Lease End	N\A
Axis at Westmont:13.107	Bed-Bath	1 X 1
Axis at Westmont:13.107	Unit Type	a1uix
Axis at Westmont:13.107	Occupancy Status	Admin/Down
Axis at Westmont:13.107	Market Rent	997.0
Axis at Westmont:13.107	Lease Start	N\A
Axis at Westmont:13.107	Lease End	N\A
Axis at Westmont:13.108	Bed-Bath	1 X 1
Axis at Westmont:13.108	Unit Type	a2ix
Axis at Westmont:13.108	Occupancy Status	Admin/Down
Axis at Westmont:13.108	Market Rent	926.0
Axis at Westmont:13.108	Lease Start	N\A
Axis at Westmont:13.108	Lease End	N\A
Axis at Westmont:13.109	Bed-Bath	1 X 1
Axis at Westmont:13.109	Unit Type	a2ix
Axis at Westmont:13.109	Occupancy Status	Admin/Down
Axis at Westmont:13.109	Market Rent	926.0
Axis at Westmont:13.109	Lease Start	N\A
Axis at Westmont:13.109	Lease End	N\A
Axis at Westmont:13.110	Bed-Bath	2 X 1.5
Axis at Westmont:13.110	Unit Type	b2ix
Axis at Westmont:13.110	Occupancy Status	Admin/Down
Axis at Westmont:13.110	Market Rent	1107.0
Axis at Westmont:13.110	Lease Start	N\A
Axis at Westmont:13.110	Lease End	N\A
Axis at Westmont:13.201	Bed-Bath	2 X 1.5
Axis at Westmont:13.201	Unit Type	b3uix
Axis at Westmont:13.201	Occupancy Status	Admin/Down
Axis at Westmont:13.201	Market Rent	1284.0
Axis at Westmont:13.201	Lease Start	N\A
Axis at Westmont:13.201	Lease End	N\A
Axis at Westmont:13.202	Bed-Bath	1 X 1
Axis at Westmont:13.202	Unit Type	a2uix
Axis at Westmont:13.202	Occupancy Status	Admin/Down
Axis at Westmont:13.202	Market Rent	1041.0
Axis at Westmont:13.202	Lease Start	N\A
Axis at Westmont:13.202	Lease End	N\A
Axis at Westmont:13.203	Bed-Bath	1 X 1
Axis at Westmont:13.203	Unit Type	A2Pix
Axis at Westmont:13.203	Occupancy Status	Admin/Down
Axis at Westmont:13.203	Market Rent	1011.0
Axis at Westmont:13.203	Lease Start	N\A
Axis at Westmont:13.203	Lease End	N\A
Axis at Westmont:13.204	Bed-Bath	2 X 1.5
Axis at Westmont:13.204	Unit Type	b1uix
Axis at Westmont:13.204	Occupancy Status	Admin/Down
Axis at Westmont:13.204	Market Rent	1153.0
Axis at Westmont:13.204	Lease Start	N\A
Axis at Westmont:13.204	Lease End	N\A
Axis at Westmont:13.205	Bed-Bath	2 X 1.5
Axis at Westmont:13.205	Unit Type	b3uix
Axis at Westmont:13.205	Occupancy Status	Admin/Down
Axis at Westmont:13.205	Market Rent	1249.0
Axis at Westmont:13.205	Lease Start	N\A
Axis at Westmont:13.205	Lease End	N\A
Axis at Westmont:13.206	Bed-Bath	2 X 1.5
Axis at Westmont:13.206	Unit Type	b2pix
Axis at Westmont:13.206	Occupancy Status	Admin/Down
Axis at Westmont:13.206	Market Rent	1192.0
Axis at Westmont:13.206	Lease Start	N\A
Axis at Westmont:13.206	Lease End	N\A
Axis at Westmont:13.207	Bed-Bath	2 X 1.5
Axis at Westmont:13.207	Unit Type	b1ix
