Occupancy Status Type	Property	Total Units
Admin/Down	Ansley Place	1
Admin/Down	Arbors at Tallwood	1
Admin/Down	Axis at Westmont	21
Admin/Down	Bella Vida at Coyote Ridge	1
Admin/Down	Brady Station	0
Admin/Down	Bridgepoint	0
Admin/Down	Bridgeview	0
Admin/Down	Bristol Place	0
Admin/Down	Brookhollow	0
Admin/Down	Brooksfield	0
Admin/Down	Bullard Creek	0
Admin/Down	Bullard Crossing	0
Admin/Down	Canyon Crossing	0
Admin/Down	Canyon Crossing II	0
Admin/Down	Captain's Landing	0
Admin/Down	Carmel Landing	1
Admin/Down	Cedar Trails	0
Admin/Down	Chatham Village	0
Admin/Down	Chelsea Creek	1
Admin/Down	City Parc at Keller	0
Admin/Down	Club at Oak Creek	0
Admin/Down	Club at Washington Heights	0
Admin/Down	College Square	0
Admin/Down	College Square Village I	0
Admin/Down	College Square Village II	0
Admin/Down	Concord at Allendale	2
Admin/Down	Curry Junction	0
Admin/Down	Forest Park	0
Admin/Down	Granite Park	0
Admin/Down	Hawthorne Ridge	0
Admin/Down	Hollister Place	0
Admin/Down	Huntington Pointe	0
Admin/Down	Indiana Village	0
Admin/Down	Ladera Palms	3
Admin/Down	Lakes at Fountain Square	1
Admin/Down	Landings at Brooks City Base	0
Admin/Down	Maple Springs	0
Admin/Down	Northwood Village	0
Admin/Down	Oaks at Greenview, The	1
Admin/Down	Oakwood Village	0
Admin/Down	Osprey Pointe	0
Admin/Down	Parc500	0
Admin/Down	Park at Johns Creek	0
Admin/Down	Park at Peachtree Corners	2
Admin/Down	Park at Towne Lake	0
Admin/Down	Pavilions at Deer Chase	0
Admin/Down	Peanut Factory	0
Admin/Down	Perry Place	0
Admin/Down	Porterwood	0
Admin/Down	Promenade at Belleair	0
Admin/Down	Promenade at Edgewater	0
Admin/Down	Regatta Bay	1
Admin/Down	Rock Creek	0
Admin/Down	Silverbrook	1
Admin/Down	St. Charles Place	0
Admin/Down	Stewart's Landing	0
Admin/Down	Stone Hollow	0
Admin/Down	Stonecastle	0
Admin/Down	Stonecrossing East of Westchase	1
