datasource_slug	account_code	name	created_from_id	flip_sign	is_total
bh-management-bh-management		Advertising and Promotions		False	False
bh-management-bh-management		Capital Expense (Non-Depreciable)		False	False
bh-management-bh-management		Cash Flow From Financing		False	False
bh-management-bh-management		Cash Flow From Investing		False	False
bh-management-bh-management		Cash Flow From Operations		False	False
bh-management-bh-management		Change in Acc Other Comprehensive		False	False
bh-management-bh-management		Change in Current Liabilities		False	False
bh-management-bh-management		Change in Deferred Loan Fees		False	False
bh-management-bh-management		Change in Depreciation & Amortization		False	False
bh-management-bh-management		Change in Equity-Contributions		False	False
bh-management-bh-management		Change in Equity-Distributions		False	False
bh-management-bh-management		Change in Initial Start-Up Expenses		False	False
bh-management-bh-management		Change in Investment at Cost		False	False
bh-management-bh-management		Change in Land and Buildings		False	False
bh-management-bh-management		Change in Long Term Notes Payable		False	False
bh-management-bh-management		Change in Mortgage Payable		False	False
bh-management-bh-management		Change in NCI Unrealized Appr/Depr		False	False
bh-management-bh-management		Change in Nonrecurring Fixed Assets		False	False
bh-management-bh-management		Change in Other Comprehensive		False	False
bh-management-bh-management		Change in Other Current Assets		False	False
bh-management-bh-management		Change in Other Equity		False	False
bh-management-bh-management		Change in Recurring Fixed Assets		False	False
bh-management-bh-management		Change in Rehab Expenses		False	False
bh-management-bh-management		Change in Required Repair Expenses		False	False
bh-management-bh-management		Change in Reserves and Escrows		False	False
bh-management-bh-management		Change in Security Deposit Liabilities		False	False
bh-management-bh-management		Change in Short Term Notes Payable		False	False
bh-management-bh-management		Change in Stock		False	False
bh-management-bh-management		Change in Utility Deposits		False	False
bh-management-bh-management		Debt Service-Entity Loans		False	False
bh-management-bh-management		Debt Service-Property		False	False
bh-management-bh-management		Deductions		False	False
bh-management-bh-management		Depreciation and Amortization		False	False
bh-management-bh-management		Entity Expenses		False	False
bh-management-bh-management		General and Administrative Costs		False	False
bh-management-bh-management		Gross Potential Rent		False	False
bh-management-bh-management		Insurance and Bonds		False	False
bh-management-bh-management		Labor Costs		False	False
bh-management-bh-management		Management Fees		False	False
bh-management-bh-management		Net Income		False	False
bh-management-bh-management		Net Operating Income		False	False
bh-management-bh-management		Net Rental Income		False	False
bh-management-bh-management		Nonrec Capital Exp-Admin Buildings		False	False
bh-management-bh-management		Nonrec Capital Exp-Ext Building Impr		False	False
bh-management-bh-management		Nonrec Capital Exp-Int Building Impr		False	False
bh-management-bh-management		Nonrec Capital Exp-Landscaping		False	False
bh-management-bh-management		Nonrec Capital Exp-Mech/Elect/Plumb		False	False
bh-management-bh-management		Nonrec Capital Exp-Other		False	False
bh-management-bh-management		Nonrec Capital Exp-Site Improvements		False	False
bh-management-bh-management		Nonrecurring Capital Expense		False	False
bh-management-bh-management		Other		False	False
bh-management-bh-management		Other Income		False	False
bh-management-bh-management		Other Property Expenses		False	False
bh-management-bh-management		Property Taxes		False	False
bh-management-bh-management		Recurring Capital Exp-Interiors		False	False
bh-management-bh-management		Recurring Capital Exp-Other		False	False
bh-management-bh-management		Recurring Capital Expense		False	False
bh-management-bh-management		Repairs and Maintenance		False	False
