Last Data Shown	Cancellation Ratio	0.0
Last Data Shown	Count	6
BHManagement.com	Cancellation Ratio	100.0	#ff8c88
BHManagement.com	Denial Ratio	0.0	#d39a47
Banner/Billboard	Cancellation Ratio	100.0	#ff8c88
Banner/Billboard	Denial Ratio	0.0	#d39a47
APlaceForMom.com	Cancellation Ratio	67.0731707317	#ff8c88
APlaceForMom.com	Denial Ratio	0.0	#d39a47
Sweet IQ	Cancellation Ratio	50.0	#ff8c88
Sweet IQ	Denial Ratio	0.0	#d39a47
Apartment Finder.com	Cancellation Ratio	32.9268292683	#ff8c88
Apartment Finder.com	Denial Ratio	0.0	#d39a47
BH Website	Cancellation Ratio	32.9268292683	#ff8c88
BH Website	Denial Ratio	10.9756097561	#d39a47
ApartmentGuide.com	Cancellation Ratio	19.512195122	#ff8c88
ApartmentGuide.com	Denial Ratio	30.487804878	#d39a47
G5 Website	Cancellation Ratio	18.2926829268	#ff8c88
G5 Website	Denial Ratio	9.75609756098	#d39a47
Walk In/Drive By	Cancellation Ratio	18.2926829268	#ff8c88
Walk In/Drive By	Denial Ratio	6.09756097561	#d39a47
Walk in/Drive By	Cancellation Ratio	18.2926829268	#ff8c88
Walk in/Drive By	Denial Ratio	17.0731707317	#d39a47
Google	Cancellation Ratio	18.2926829268	#ff8c88
Google	Denial Ratio	6.09756097561	#d39a47
Previous Resident	Cancellation Ratio	15.8536585366	#ff8c88
Previous Resident	Denial Ratio	26.8292682927	#d39a47
Property Website	Cancellation Ratio	15.8536585366	#ff8c88
Property Website	Denial Ratio	17.0731707317	#d39a47
Apartments.com	Cancellation Ratio	14.6341463415	#ff8c88
Apartments.com	Denial Ratio	15.8536585366	#d39a47
Drive By	Cancellation Ratio	14.6341463415	#ff8c88
Drive By	Denial Ratio	10.9756097561	#d39a47
ApartmentList.com	Cancellation Ratio	13.4146341463	#ff8c88
ApartmentList.com	Denial Ratio	14.6341463415	#d39a47
BH Web Page	Cancellation Ratio	13.4146341463	#ff8c88
BH Web Page	Denial Ratio	6.09756097561	#d39a47
Walk-in/Drive-by	Cancellation Ratio	10.9756097561	#ff8c88
Walk-in/Drive-by	Denial Ratio	10.9756097561	#d39a47
Walk-in/Drive By	Cancellation Ratio	8.53658536585	#ff8c88
Walk-in/Drive By	Denial Ratio	12.1951219512	#d39a47
Outreach Marketing	Cancellation Ratio	8.53658536585	#ff8c88
Outreach Marketing	Denial Ratio	0.0	#d39a47
Resident Referral	Cancellation Ratio	7.31707317073	#ff8c88
Resident Referral	Denial Ratio	15.8536585366	#d39a47
Walk-in/Drive-By	Cancellation Ratio	7.31707317073	#ff8c88
Walk-in/Drive-By	Denial Ratio	21.9512195122	#d39a47
Google Listing	Cancellation Ratio	7.31707317073	#ff8c88
Google Listing	Denial Ratio	14.6341463415	#d39a47
